Unit:(mV)
                     CH1         CH2
Frequency              ?  72.935 kHz
00001              -4.00      920.00
00002              -2.00      880.00
00003              -4.00      880.00
00004               2.00      880.00
00005              -2.00      880.00
00006              -4.00      880.00
00007               2.00      840.00
00008              -4.00      840.00
00009              -2.00      840.00
00010              -2.00      840.00
00011              -6.00      800.00
00012              -2.00      800.00
00013              -4.00      800.00
00014              -4.00      800.00
00015              -2.00      800.00
00016              -4.00      760.00
00017              -4.00      800.00
00018              -4.00      760.00
00019              -4.00      760.00
00020              -4.00      760.00
00021              -6.00      760.00
00022              -2.00      720.00
00023               2.00      760.00
00024              -4.00      760.00
00025              -2.00      720.00
00026              -2.00      720.00
00027              -4.00      720.00
00028               2.00      720.00
00029              -2.00      680.00
00030              -2.00      680.00
00031              -2.00      680.00
00032              -6.00      640.00
00033               2.00      680.00
00034              -4.00      640.00
00035               2.00      640.00
00036               2.00      640.00
00037              -4.00      640.00
00038               2.00      640.00
00039              -2.00      640.00
00040              -2.00      600.00
00041              -2.00      560.00
00042              -4.00      600.00
00043               2.00      600.00
00044              -6.00      560.00
00045              -2.00      560.00
00046              -2.00      560.00
00047               2.00      560.00
00048              -4.00      520.00
00049              -6.00      560.00
00050              -4.00      520.00
00051              -2.00      520.00
00052              -2.00      480.00
00053              -4.00      480.00
00054              -4.00      480.00
00055              -4.00      480.00
00056              -2.00      480.00
00057              -2.00      440.00
00058              -2.00      440.00
00059              -6.00      440.00
00060              -4.00      440.00
00061              -4.00      400.00
00062              -2.00      400.00
00063               0.00      400.00
00064              -4.00      400.00
00065               0.00      400.00
00066              -2.00      400.00
00067              -6.00      360.00
00068               2.00      400.00
00069              -2.00      360.00
00070              -2.00      320.00
00071              -4.00      360.00
00072               4.00      320.00
00073              -2.00      280.00
00074              -2.00      280.00
00075               0.00      280.00
00076              -6.00      280.00
00077               0.00      240.00
00078              -2.00      280.00
00079              -6.00      240.00
00080              -2.00      240.00
00081              -4.00      200.00
00082              -4.00      240.00
00083              -4.00      200.00
00084              -2.00      200.00
00085              -4.00      160.00
00086              -4.00      160.00
00087              -2.00      160.00
00088              -4.00      120.00
00089               2.00      160.00
00090              -6.00      120.00
00091              -2.00      120.00
00092              -2.00      120.00
00093              -6.00      120.00
00094               2.00       80.00
00095              -4.00       80.00
00096              -2.00       80.00
00097              -2.00       80.00
00098               2.00       40.00
00099              -6.00       80.00
00100               0.00       40.00
00101              26.00        0.00
00102             130.00        0.00
00103            -250.00      -40.00
00104             250.00        0.00
00105            -192.00        0.00
00106              68.00     -160.00
00107             -14.00     -160.00
00108             106.00      -80.00
00109            -158.00      -40.00
00110             -82.00       80.00
00111             246.00       80.00
00112            -210.00     -120.00
00113              -6.00     -160.00
00114             142.00     -200.00
00115             -92.00     -160.00
00116             -26.00     -240.00
00117             156.00      -80.00
00118            -240.00     -200.00
00119             226.00      -40.00
00120            -234.00      -80.00
00121             214.00     -160.00
00122            -214.00     -160.00
00123             242.00     -280.00
00124            -212.00     -320.00
00125             178.00     -280.00
00126            -148.00     -240.00
00127              96.00     -200.00
00128             -90.00     -200.00
00129              66.00     -200.00
00130             -44.00     -320.00
00131              38.00     -320.00
00132             -28.00     -360.00
00133              22.00     -320.00
00134             -24.00     -320.00
00135               2.00     -320.00
00136               2.00     -320.00
00137             -18.00     -360.00
00138              20.00     -360.00
00139             -12.00     -400.00
00140               6.00     -400.00
00141              -2.00     -400.00
00142              -8.00     -400.00
00143              -2.00     -400.00
00144              -4.00     -400.00
00145              -4.00     -440.00
00146              -2.00     -440.00
00147               2.00     -480.00
00148              -6.00     -480.00
00149              -4.00     -480.00
00150               2.00     -480.00
00151             -10.00     -480.00
00152               2.00     -480.00
00153              -6.00     -480.00
00154               2.00     -520.00
00155              -2.00     -520.00
00156              -4.00     -520.00
00157              -4.00     -560.00
00158               0.00     -520.00
00159              -6.00     -560.00
00160               2.00     -560.00
00161              -4.00     -560.00
00162              -2.00     -560.00
00163               2.00     -560.00
00164              -4.00     -600.00
00165               2.00     -600.00
00166              -4.00     -560.00
00167              -6.00     -640.00
00168               4.00     -640.00
00169              -6.00     -640.00
00170               2.00     -640.00
00171              -4.00     -640.00
00172              -4.00     -680.00
00173              -2.00     -680.00
00174              -4.00     -680.00
00175              -4.00     -680.00
00176              -2.00     -720.00
00177              -4.00     -720.00
00178              -6.00     -720.00
00179              -4.00     -720.00
00180              -2.00     -720.00
00181               0.00     -720.00
00182              -6.00     -760.00
00183              -2.00     -720.00
00184              -2.00     -720.00
00185               0.00     -760.00
00186              -4.00     -800.00
00187              -2.00     -800.00
00188              -4.00     -800.00
00189              -6.00     -800.00
00190              -2.00     -840.00
00191              -2.00     -800.00
00192              -8.00     -840.00
00193               2.00     -800.00
00194              -6.00     -840.00
00195              -4.00     -800.00
00196               0.00     -840.00
00197               4.00     -840.00
00198              -4.00     -880.00
00199              -6.00     -880.00
00200              -2.00     -880.00
00201              -4.00     -880.00
00202               4.00     -880.00
00203              -4.00     -880.00
00204              -4.00     -880.00
00205               2.00     -880.00
00206              -6.00     -880.00
00207              -4.00     -880.00
00208               2.00     -920.00
00209             -10.00     -920.00
00210              -2.00     -920.00
00211               0.00     -960.00
00212              -6.00     -960.00
00213               2.00     -920.00
00214              -6.00     -960.00
00215              -6.00     -960.00
00216               4.00     -920.00
00217             -12.00     -960.00
00218              -4.00     -960.00
00219               2.00     -920.00
00220              -6.00    -1000.00
00221              -4.00    -1000.00
00222              -2.00     -920.00
00223              -6.00    -1000.00
00224               4.00    -1000.00
00225              -6.00     -960.00
00226              -2.00    -1000.00
00227              -2.00    -1000.00
00228              -4.00    -1000.00
00229              -4.00    -1040.00
00230               2.00    -1000.00
00231              -6.00    -1040.00
00232               2.00    -1000.00
00233              -4.00    -1040.00
00234              -6.00    -1040.00
00235               4.00    -1040.00
00236             -12.00    -1000.00
00237               2.00    -1040.00
00238               2.00    -1040.00
00239             -10.00    -1040.00
00240               2.00    -1040.00
00241              -2.00    -1040.00
00242             -12.00    -1040.00
00243               4.00    -1040.00
00244              -2.00    -1040.00
00245              -6.00    -1080.00
00246               4.00    -1080.00
00247             -10.00    -1120.00
00248              -8.00    -1040.00
00249               4.00    -1080.00
00250              -8.00    -1080.00
00251              -2.00    -1120.00
00252               4.00    -1040.00
00253             -10.00    -1080.00
00254              -4.00    -1120.00
00255               4.00    -1120.00
00256             -10.00    -1120.00
00257              -2.00    -1120.00
00258              -2.00    -1080.00
00259              -6.00    -1120.00
00260              -2.00    -1120.00
00261               0.00    -1120.00
00262              -6.00    -1120.00
00263               2.00    -1120.00
00264              -4.00    -1120.00
00265              -4.00    -1120.00
00266              -2.00    -1120.00
00267              -6.00    -1120.00
00268              -2.00    -1120.00
00269               2.00    -1120.00
00270              -4.00    -1120.00
00271              -6.00    -1120.00
00272               2.00    -1080.00
00273              -6.00    -1120.00
00274              -4.00    -1120.00
00275               2.00    -1120.00
00276              -6.00    -1160.00
00277              -2.00    -1120.00
00278              -6.00    -1120.00
00279              -6.00    -1120.00
00280              -2.00    -1120.00
00281              -6.00    -1120.00
00282              -6.00    -1120.00
00283              -4.00    -1120.00
00284              -2.00    -1120.00
00285              -6.00    -1120.00
00286              -2.00    -1120.00
00287              -4.00    -1120.00
00288              -4.00    -1120.00
00289              -2.00    -1120.00
00290              -2.00    -1120.00
00291              -4.00    -1120.00
00292              -2.00    -1120.00
00293              -4.00    -1120.00
00294              -4.00    -1120.00
00295              -2.00    -1120.00
00296              -4.00    -1040.00
00297              -2.00    -1040.00
00298              -4.00    -1080.00
00299              -4.00    -1040.00
00300              -4.00    -1080.00
00301               2.00    -1080.00
00302              -4.00    -1040.00
00303              -4.00    -1040.00
00304              -2.00    -1080.00
00305              -6.00    -1040.00
00306              -4.00    -1040.00
00307              -6.00    -1040.00
00308              -4.00    -1040.00
00309              -4.00    -1080.00
00310              -4.00    -1040.00
00311               0.00    -1040.00
00312              -6.00    -1040.00
00313              -6.00    -1040.00
00314               2.00    -1040.00
00315              -4.00    -1000.00
00316              -2.00    -1000.00
00317              -6.00    -1000.00
00318              -6.00    -1000.00
00319               0.00    -1000.00
00320              -6.00    -1040.00
00321              -4.00    -1000.00
00322              -2.00    -1000.00
00323              -2.00     -960.00
00324               0.00     -920.00
00325              -4.00     -920.00
00326              -2.00    -1000.00
00327              -2.00    -1000.00
00328               2.00     -960.00
00329              -4.00     -960.00
00330              -2.00     -920.00
00331              -4.00     -920.00
00332              -2.00     -920.00
00333              -4.00     -920.00
00334              -2.00     -920.00
00335              -4.00     -920.00
00336              -4.00     -920.00
00337              -4.00     -920.00
00338              -4.00     -920.00
00339              -6.00     -920.00
00340              -2.00     -880.00
00341              -6.00     -880.00
00342              -4.00     -880.00
00343               2.00     -880.00
00344              -4.00     -880.00
00345              -2.00     -880.00
00346             -10.00     -880.00
00347              -2.00     -840.00
00348              -6.00     -840.00
00349              -4.00     -840.00
00350               2.00     -840.00
00351              -6.00     -840.00
00352               0.00     -800.00
00353              -6.00     -840.00
00354              -6.00     -840.00
00355               2.00     -800.00
00356              -4.00     -800.00
00357              -4.00     -800.00
00358              -2.00     -800.00
00359              -6.00     -760.00
00360              -4.00     -800.00
00361               2.00     -800.00
00362              -4.00     -760.00
00363              -6.00     -720.00
00364               2.00     -720.00
