Unit:(mV)
                     CH1         CH2
Frequency              ?  98.433 kHz
00001            -420.00    -2720.00
00002            -440.00    -2720.00
00003            -440.00    -2720.00
00004            -440.00    -2800.00
00005            -460.00    -2880.00
00006            -460.00    -2880.00
00007            -460.00    -2960.00
00008            -460.00    -2960.00
00009            -500.00    -3040.00
00010            -480.00    -3040.00
00011            -500.00    -3200.00
00012            -520.00    -3120.00
00013            -520.00    -3200.00
00014            -520.00    -3280.00
00015            -540.00    -3280.00
00016            -540.00    -3360.00
00017            -540.00    -3360.00
00018            -580.00    -3440.00
00019            -560.00    -3440.00
00020            -580.00    -3520.00
00021            -580.00    -3520.00
00022            -580.00    -3600.00
00023            -600.00    -3600.00
00024            -600.00    -3680.00
00025            -600.00    -3680.00
00026            -620.00    -3680.00
00027            -640.00    -3760.00
00028            -620.00    -3840.00
00029            -660.00    -3840.00
00030            -660.00    -3920.00
00031            -660.00    -3920.00
00032            -680.00    -3920.00
00033            -680.00    -4000.00
00034            -680.00    -4000.00
00035            -700.00    -4080.00
00036            -700.00    -4080.00
00037            -740.00    -4160.00
00038            -700.00    -4240.00
00039            -740.00    -4240.00
00040            -740.00    -4240.00
00041            -740.00    -4320.00
00042            -760.00    -4320.00
00043            -760.00    -4400.00
00044            -760.00    -4400.00
00045            -780.00    -4480.00
00046            -760.00    -4480.00
00047            -780.00    -4560.00
00048            -780.00    -4560.00
00049            -820.00    -4640.00
00050            -800.00    -4640.00
00051            -820.00    -4720.00
00052            -840.00    -4800.00
00053            -820.00    -4800.00
00054            -840.00    -4880.00
00055            -840.00    -4880.00
00056            -840.00    -4960.00
00057            -860.00    -4960.00
00058            -860.00    -4960.00
00059            -860.00    -5040.00
00060            -860.00    -5040.00
00061            -860.00    -5120.00
00062            -860.00    -5120.00
00063            -860.00    -5120.00
00064            -900.00    -5200.00
00065            -920.00    -5200.00
00066            -900.00    -5200.00
00067            -920.00    -5280.00
00068            -920.00    -5280.00
00069            -920.00    -5360.00
00070            -920.00    -5360.00
00071            -920.00    -5440.00
00072            -940.00    -5440.00
00073            -940.00    -5520.00
00074            -940.00    -5520.00
00075            -940.00    -5520.00
00076            -960.00    -5600.00
00077            -960.00    -5600.00
00078            -980.00    -5680.00
00079            -980.00    -5680.00
00080            -980.00    -5760.00
00081           -1000.00    -5760.00
00082           -1000.00    -5760.00
00083           -1000.00    -5760.00
00084           -1000.00    -5840.00
00085           -1020.00    -5920.00
00086           -1020.00    -5840.00
00087           -1020.00    -5920.00
00088           -1020.00    -5920.00
00089           -1040.00    -5920.00
00090           -1040.00    -6000.00
00091           -1020.00    -6080.00
00092           -1060.00    -6080.00
00093           -1080.00    -6160.00
00094           -1060.00    -6080.00
00095           -1080.00    -6160.00
00096           -1080.00    -6160.00
00097           -1080.00    -6160.00
00098           -1080.00    -6240.00
00099           -1100.00    -6240.00
00100           -1100.00    -6240.00
00101           -1100.00    -6240.00
00102           -1100.00    -6400.00
00103           -1120.00    -6400.00
00104           -1140.00    -6400.00
00105           -1140.00    -6400.00
00106           -1140.00    -6480.00
00107           -1140.00    -6480.00
00108           -1160.00    -6480.00
00109           -1160.00    -6480.00
00110           -1140.00    -6560.00
00111           -1160.00    -6560.00
00112           -1180.00    -6560.00
00113           -1160.00    -6560.00
00114           -1180.00    -6640.00
00115           -1180.00    -6720.00
00116           -1180.00    -6720.00
00117           -1180.00    -6720.00
00118           -1180.00    -6720.00
00119           -1180.00    -6720.00
00120           -1180.00    -6800.00
00121           -1220.00    -6800.00
00122           -1200.00    -6800.00
00123           -1180.00    -6880.00
00124           -1220.00    -6880.00
00125           -1220.00    -6880.00
00126           -1200.00    -6880.00
00127           -1240.00    -6880.00
00128           -1220.00    -6880.00
00129           -1240.00    -6880.00
00130           -1240.00    -6880.00
00131           -1240.00    -7040.00
00132           -1240.00    -6880.00
00133           -1240.00    -6960.00
00134           -1240.00    -6960.00
