Unit:(mV)
                     CH1         CH2
Frequency              ? 300.486 kHz
00001              -7.20     -400.00
00002             -25.00     -480.00
00003              25.00     -400.00
00004              25.00     -560.00
00005             -25.00     -640.00
00006              25.00     -480.00
00007              19.60     -720.00
00008             -25.00     -640.00
00009              25.00     -640.00
00010              -8.00     -720.00
00011             -22.60     -720.00
00012              24.20     -800.00
00013             -17.00     -800.00
00014              -7.80     -800.00
00015               3.00     -880.00
00016               5.80     -800.00
00017             -17.20     -960.00
00018              17.20     -960.00
00019              -1.80     -960.00
00020             -25.00    -1040.00
00021              22.00    -1040.00
00022             -10.00    -1120.00
00023             -12.00    -1120.00
00024               7.80    -1120.00
00025               0.60    -1120.00
00026             -15.80    -1120.00
00027              -2.20    -1200.00
00028               2.80    -1200.00
00029             -11.80    -1280.00
00030               4.20    -1280.00
00031              -6.00    -1280.00
00032              -3.80    -1280.00
00033              -4.60    -1280.00
00034              -6.00    -1280.00
00035              -3.80    -1360.00
00036              -1.40    -1440.00
00037              -3.80    -1360.00
00038              -9.20    -1360.00
00039              -1.20    -1440.00
00040              -9.00    -1440.00
00041              -8.60    -1440.00
00042              -1.80    -1440.00
00043              -5.00    -1520.00
00044              -8.40    -1520.00
00045              -3.80    -1520.00
00046              -7.40    -1520.00
00047              -8.40    -1600.00
00048              -4.40    -1600.00
00049              -6.60    -1600.00
00050              -6.60    -1600.00
00051              -6.60    -1680.00
00052              -8.20    -1600.00
00053              -9.00    -1680.00
00054              -6.00    -1680.00
00055              -8.80    -1600.00
00056              -8.80    -1680.00
00057              -6.80    -1680.00
00058             -10.20    -1680.00
00059              -8.80    -1680.00
00060              -8.40    -1680.00
00061              -9.00    -1680.00
00062              -8.40    -1680.00
00063              -9.20    -1680.00
00064              -9.40    -1680.00
00065             -10.40    -1760.00
00066              -9.80    -1680.00
00067              -9.40    -1680.00
00068             -10.20    -1680.00
00069              -9.00    -1760.00
00070             -10.60    -1760.00
00071             -10.80    -1760.00
00072             -10.20    -1760.00
00073             -11.40    -1760.00
00074              -9.40    -1760.00
00075              -9.00    -1680.00
00076              -9.60    -1680.00
00077             -10.20    -1680.00
00078              -9.80    -1760.00
00079              -8.80    -1760.00
00080              -9.20    -1680.00
