Tiempo_(s)	Campo_(A/m)	Magnetizacion_(A/m)
0.0000000000	-51865.400660	-1103.771881
0.0000000100	-51861.841578	-1103.182877
0.0000000200	-51836.076067	-1102.446565
0.0000000300	-51784.594033	-1101.682098
0.0000000400	-51714.553279	-1100.950671
0.0000000500	-51632.608058	-1100.249576
0.0000000600	-51541.487058	-1099.531430
0.0000000700	-51432.116193	-1098.737992
0.0000000800	-51302.689571	-1097.831249
0.0000000900	-51157.282836	-1096.805754
0.0000001000	-50994.138480	-1095.675578
0.0000001100	-50800.415630	-1094.442618
0.0000001200	-50572.184948	-1093.064093
0.0000001300	-50328.115541	-1091.439978
0.0000001400	-50069.037202	-1089.433509
0.0000001500	-49790.879205	-1086.922309
0.0000001600	-49506.035956	-1083.860977
0.0000001700	-49208.572607	-1080.326233
0.0000001800	-48881.356784	-1076.518662
0.0000001900	-48541.486087	-1072.710853
0.0000002000	-48195.980706	-1069.154582
0.0000002100	-47823.411844	-1065.979704
0.0000002200	-47431.652938	-1063.125429
0.0000002300	-47020.217823	-1060.335636
0.0000002400	-46586.108649	-1057.226594
0.0000002500	-46145.053754	-1053.406693
0.0000002600	-45694.200448	-1048.605672
0.0000002700	-45226.232154	-1042.764997
0.0000002800	-44742.244053	-1036.054621
0.0000002900	-44244.775059	-1028.809281
0.0000003000	-43731.263952	-1021.408407
0.0000003100	-43202.466057	-1014.145038
0.0000003200	-42666.210197	-1007.132059
0.0000003300	-42112.848042	-1000.277904
0.0000003400	-41533.115732	-993.335601
0.0000003500	-40929.141631	-986.000844
0.0000003600	-40307.231442	-978.018142
0.0000003700	-39676.247167	-969.255141
0.0000003800	-39036.890827	-959.722242
0.0000003900	-38384.755612	-949.539113
0.0000004000	-37718.366792	-938.870624
0.0000004100	-37044.038762	-927.863364
0.0000004200	-36358.406590	-916.607861
0.0000004300	-35655.880204	-905.135236
0.0000004400	-34940.014313	-893.439080
0.0000004500	-34218.558351	-881.502615
0.0000004600	-33494.651557	-869.312212
0.0000004700	-32751.942961	-856.849553
0.0000004800	-31983.818004	-844.069479
0.0000004900	-31198.538365	-830.880862
0.0000005000	-30401.976891	-817.147964
0.0000005100	-29596.932963	-802.719646
0.0000005200	-28784.060213	-787.478551
0.0000005300	-27964.140047	-771.389842
0.0000005400	-27130.266438	-754.525966
0.0000005500	-26284.007118	-737.052260
0.0000005600	-25433.040828	-719.174613
0.0000005700	-24576.903710	-701.067278
0.0000005800	-23709.934999	-682.808542
0.0000005900	-22828.933459	-664.349657
0.0000006000	-21938.999220	-645.529190
0.0000006100	-21044.728868	-626.126623
0.0000006200	-20148.149071	-605.933664
0.0000006300	-19248.478423	-584.815913
0.0000006400	-18344.551047	-562.743235
0.0000006500	-17436.185864	-539.781441
0.0000006600	-16520.062552	-516.053806
0.0000006700	-15598.507945	-491.691709
0.0000006800	-14667.556783	-466.795056
0.0000006900	-13721.720690	-441.415459
0.0000007000	-12767.141675	-415.562956
0.0000007100	-11805.886101	-389.226330
0.0000007200	-10835.406360	-362.392712
0.0000007300	-9863.120726	-335.055423
0.0000007400	-8888.636034	-307.207575
0.0000007500	-7908.821739	-278.827980
0.0000007600	-6927.943264	-249.870793
0.0000007700	-5943.722161	-220.268803
0.0000007800	-4959.461365	-189.953386
0.0000007900	-3975.461038	-158.885509
0.0000008000	-2989.292654	-127.086040
0.0000008100	-2003.415739	-94.652930
0.0000008200	-1017.136967	-61.757616
0.0000008300	-30.306257	-28.620991
0.0000008400	956.634840	4.523246
0.0000008500	1943.134387	37.466171
0.0000008600	2929.633934	70.051330
0.0000008700	3917.308050	102.186368
0.0000008800	4904.801085	133.838308
0.0000008900	5890.567612	165.016821
0.0000009000	6874.828408	195.751802
0.0000009100	7856.589985	226.070945
0.0000009200	8838.793111	255.981171
0.0000009300	9816.739510	285.456108
0.0000009400	10790.310102	314.431097
0.0000009500	11765.465813	342.807093
0.0000009600	12727.480486	370.464298
0.0000009700	13672.442172	397.284622
0.0000009800	14614.802944	423.179066
0.0000009900	15547.325611	448.113137
0.0000010000	16466.358693	472.121985
0.0000010100	17379.329153	495.308558
0.0000010200	18281.940571	517.822780
0.0000010300	19180.436650	539.825999
0.0000010400	20079.263891	561.450546
0.0000010500	20975.702301	582.766538
0.0000010600	21869.570797	603.766115
0.0000010700	22758.670322	624.369639
0.0000010800	23639.980718	644.451193
0.0000010900	24508.150078	663.874814
0.0000011000	25362.578076	682.530403
0.0000011100	26212.882041	700.359704
0.0000011200	27057.763404	717.367181
0.0000011300	27884.686371	733.615786
0.0000011400	28700.248116	749.211526
0.0000011500	29512.979478	764.282245
0.0000011600	30321.635194	778.955298
0.0000011700	31125.923797	793.337159
0.0000011800	31919.168725	807.496659
0.0000011900	32688.944575	821.453399
0.0000012000	33437.150241	835.173454
0.0000012100	34171.323076	848.574843
0.0000012200	34893.962301	861.544194
0.0000012300	35611.271923	873.963269
0.0000012400	36319.366073	885.740333
0.0000012500	37011.197334	896.838267
0.0000012600	37688.514521	907.290653
0.0000012700	38356.497154	917.199579
0.0000012800	39013.727582	926.714182
0.0000012900	39654.977898	935.995128
0.0000013000	40286.593497	945.175060
0.0000013100	40912.896881	954.326529
0.0000013200	41519.925913	963.446592
0.0000013300	42098.518427	972.461882
0.0000013400	42658.481528	981.251631
0.0000013500	43205.886529	989.681078
0.0000013600	43734.750198	997.635502
0.0000013700	44243.951271	1005.046134
0.0000013800	44741.799815	1011.902632
0.0000013900	45232.309474	1018.251090
0.0000014000	45706.516551	1024.180256
0.0000014100	46162.646152	1029.800750
0.0000014200	46608.337324	1035.222578
0.0000014300	47044.892410	1040.535325
0.0000014400	47462.835470	1045.794075
0.0000014500	47854.139213	1051.012506
0.0000014600	48232.024063	1056.163401
0.0000014700	48598.653157	1061.185727
0.0000014800	48937.406365	1065.996728
0.0000014900	49254.911859	1070.506945
0.0000015000	49560.009335	1074.635945
0.0000015100	49848.252291	1078.326648
0.0000015200	50117.463976	1081.556438
0.0000015300	50370.664549	1084.343533
0.0000015400	50604.992626	1086.747248
0.0000015500	50810.340942	1088.861009
0.0000015600	50991.438772	1090.797644
0.0000015700	51158.834934	1092.667875
0.0000015800	51310.038902	1094.555255
0.0000015900	51443.637944	1096.493150
0.0000016000	51560.241079	1098.450887
0.0000016100	51655.101642	1100.335393
0.0000016200	51738.230126	1102.011030
0.0000016300	51809.692304	1103.334528
0.0000016400	51859.893155	1104.195778
0.0000016500	51884.086013	1104.551520
0.0000016600	51884.801100	1104.439786
0.0000016700	51876.402408	1103.968804
0.0000016800	51857.542980	1103.283319
0.0000016900	51819.802364	1102.520200
0.0000017000	51762.337151	1101.769934
0.0000017100	51692.313839	1101.058491
0.0000017200	51609.723735	1100.355550
0.0000017300	51514.716920	1099.603446
0.0000017400	51408.145493	1098.751809
0.0000017500	51282.260021	1097.780151
0.0000017600	51127.584561	1096.696607
0.0000017700	50934.934642	1095.513220
0.0000017800	50708.337521	1094.211168
0.0000017900	50466.405226	1092.716608
0.0000018000	50219.593572	1090.905066
0.0000018100	49960.956839	1088.639783
0.0000018200	49703.075431	1085.832237
0.0000018300	49441.546315	1082.499126
0.0000018400	49133.838141	1078.786742
0.0000018500	48789.948934	1074.943870
0.0000018600	48441.613226	1071.244955
0.0000018700	48069.053114	1067.887894
0.0000018800	47680.605889	1064.905397
0.0000018900	47287.800243	1062.127859
0.0000019000	46872.179151	1059.218265
0.0000019100	46442.304452	1055.772014
0.0000019200	46000.171817	1051.447849
0.0000019300	45542.169457	1046.081854
0.0000019400	45062.755687	1039.741163
0.0000019500	44563.317160	1032.696405
0.0000019600	44050.075270	1025.323087
0.0000019700	43514.940728	1017.969302
0.0000019800	42963.746685	1010.839263
0.0000019900	42401.539969	1003.934406
0.0000020000	41823.021978	997.069848
0.0000020100	41232.087275	989.954159
0.0000020200	40632.228568	982.297219
0.0000020300	40018.818275	973.903490
0.0000020400	39390.240275	964.718363
0.0000020500	38749.788808	954.817588
0.0000020600	38101.336131	944.353699
0.0000020700	37437.172503	933.488453
0.0000020800	36751.005836	922.340890
0.0000020900	36044.341859	910.968128
0.0000021000	35321.658077	899.377614
0.0000021100	34587.992621	887.554527
0.0000021200	33842.572779	875.483455
0.0000021300	33086.533426	863.150469
0.0000021400	32321.790845	850.525893
0.0000021500	31549.338523	837.541348
0.0000021600	30767.189484	824.079864
0.0000021700	29970.495371	809.992183
0.0000021800	29162.227952	795.138606
0.0000021900	28346.462875	779.440945
0.0000022000	27524.162626	762.921068
0.0000022100	26694.373412	745.705634
0.0000022200	25852.688423	727.990067
0.0000022300	24995.433872	709.972462
0.0000022400	24122.261208	691.782026
0.0000022500	23242.182516	673.430035
0.0000022600	22350.728988	654.802731
0.0000022700	21446.337812	635.698606
0.0000022800	20537.901989	615.894816
0.0000022900	19625.099053	595.216612
0.0000023000	18708.251471	573.584163
0.0000023100	17789.606689	551.022055
0.0000023200	16861.715433	527.632876
0.0000023300	15922.683729	503.550185
0.0000023400	14982.327375	478.892140
0.0000023500	14041.167308	453.733238
0.0000023600	13096.593921	428.100795
0.0000023700	12142.884449	401.990652
0.0000023800	11177.884447	375.388847
0.0000023900	10212.915445	348.285817
0.0000024000	9249.862725	320.676296
0.0000024100	8285.887212	292.547531
0.0000024200	7324.048755	263.865711
0.0000024300	6356.478839	234.572043
0.0000024400	5383.146465	204.595148
0.0000024500	4403.941245	173.878130
0.0000024600	3421.636479	142.410858
0.0000024700	2441.680853	110.254589
0.0000024800	1461.142289	77.548498
0.0000024900	480.351949	44.494557
0.0000025000	-502.677142	11.325422
0.0000025100	-1486.999883	-21.734224
0.0000025200	-2470.117054	-54.501072
0.0000025300	-3448.849725	-86.852661
0.0000025400	-4428.986433	-118.729937
0.0000025500	-5405.418351	-150.125361
0.0000025600	-6375.156324	-181.062341
0.0000025700	-7343.980196	-211.572203
0.0000025800	-8310.013379	-241.673475
0.0000025900	-9270.134023	-271.356352
0.0000026000	-10225.989245	-300.574037
0.0000026100	-11182.396406	-329.242350
0.0000026200	-12137.739385	-357.248821
0.0000026300	-13092.309651	-384.471327
0.0000026400	-14040.203358	-410.803895
0.0000026500	-14980.780487	-436.184028
0.0000026600	-15919.962272	-460.613626
0.0000026700	-16850.559909	-484.165622
0.0000026800	-17770.277567	-506.971833
0.0000026900	-18686.171354	-529.193311
0.0000027000	-19600.117860	-550.980710
0.0000027100	-20512.889796	-572.436234
0.0000027200	-21422.619268	-593.588810
0.0000027300	-22320.784129	-614.389982
0.0000027400	-23207.446380	-634.731215
0.0000027500	-24084.191138	-654.476466
0.0000027600	-24950.687243	-673.499614
0.0000027700	-25804.373473	-691.716006
0.0000027800	-26639.438982	-709.100652
0.0000027900	-27465.271632	-725.690708
0.0000028000	-28289.708938	-741.574607
0.0000028100	-29111.024393	-756.872852
0.0000028200	-29925.221738	-771.715730
0.0000028300	-30725.394945	-786.221746
0.0000028400	-31509.729428	-800.479006
0.0000028500	-32285.060519	-814.531000
0.0000028600	-33053.013033	-828.368623
0.0000028700	-33807.564040	-841.930820
0.0000028800	-34547.932136	-855.116021
0.0000028900	-35280.179941	-867.804477
0.0000029000	-36002.810416	-879.888244
0.0000029100	-36713.284649	-891.301924
0.0000029200	-37404.444836	-902.045344
0.0000029300	-38070.740601	-912.190336
0.0000029400	-38719.652215	-921.867947
0.0000029500	-39358.756724	-931.238434
