Unit:(mV)
                     CH1         CH2
Frequency              ? 300.411 kHz
00001              25.00     -400.00
00002              25.00     -560.00
00003             -25.00     -640.00
00004              25.00     -560.00
00005               6.60     -640.00
00006             -25.00     -720.00
00007              25.00     -720.00
00008             -14.00     -720.00
00009             -17.20     -720.00
00010              24.60     -800.00
00011             -14.00     -800.00
00012              -8.40     -800.00
00013               5.40     -960.00
00014               7.20     -880.00
00015             -17.00     -880.00
00016              21.20     -960.00
00017              -2.60     -960.00
00018             -22.00     -960.00
00019              22.80    -1040.00
00020              -8.60    -1040.00
00021              -6.00    -1120.00
00022               9.00    -1120.00
00023               3.00    -1120.00
00024             -11.80    -1120.00
00025               2.00    -1120.00
00026               3.40    -1200.00
00027              -7.80    -1280.00
00028               7.40    -1280.00
00029              -3.20    -1280.00
00030               0.00    -1360.00
00031              -1.00    -1280.00
00032              -0.80    -1360.00
00033              -0.60    -1360.00
00034               3.00    -1360.00
00035               0.20    -1440.00
00036              -3.80    -1440.00
00037               4.20    -1440.00
00038              -4.40    -1440.00
00039              -2.60    -1440.00
00040               2.60    -1440.00
00041              -1.20    -1440.00
00042              -2.20    -1520.00
00043               0.60    -1600.00
00044              -1.80    -1600.00
00045              -0.20    -1600.00
00046               0.60    -1600.00
00047              -0.20    -1600.00
00048               1.00    -1600.00
00049              -0.40    -1600.00
00050              -0.60    -1600.00
00051              -0.60    -1680.00
00052               0.40    -1680.00
00053              -1.60    -1680.00
00054              -0.20    -1680.00
00055               0.80    -1680.00
00056              -2.80    -1680.00
00057              -0.60    -1680.00
00058              -0.40    -1680.00
00059              -0.40    -1680.00
00060               0.40    -1760.00
00061               0.40    -1680.00
00062               0.20    -1680.00
00063              -0.60    -1680.00
00064               0.20    -1760.00
00065              -0.60    -1760.00
00066              -0.40    -1680.00
00067               0.60    -1680.00
00068              -1.60    -1760.00
00069               0.20    -1680.00
00070               0.20    -1760.00
00071              -2.60    -1760.00
00072               0.40    -1760.00
00073              -0.40    -1760.00
00074              -1.20    -1760.00
00075               0.40    -1760.00
00076              -1.20    -1680.00
00077              -1.20    -1760.00
00078               0.60    -1680.00
00079              -0.60    -1680.00
00080              -0.60    -1760.00
00081               0.60    -1680.00
00082              -0.40    -1680.00
00083              -1.20    -1680.00
00084               0.20    -1680.00
00085              -0.80    -1680.00
00086              -1.00    -1600.00
00087              -0.20    -1600.00
00088              -1.00    -1600.00
00089              -0.60    -1600.00
00090              -0.60    -1600.00
00091              -0.60    -1600.00
00092              -0.20    -1520.00
00093              -0.60    -1600.00
00094              -0.20    -1520.00
00095              -0.20    -1520.00
00096              -0.60    -1520.00
00097               0.40    -1440.00
00098               0.00    -1440.00
00099              -0.60    -1440.00
00100               0.00    -1440.00
00101              -1.00    -1440.00
00102              -1.80    -1360.00
00103              -0.60    -1360.00
00104              -0.40    -1360.00
00105              -0.60    -1280.00
00106               0.40    -1360.00
00107              -0.40    -1280.00
00108              -1.00    -1280.00
00109               0.20    -1200.00
00110              -0.40    -1280.00
00111              -0.20    -1120.00
00112               0.60    -1120.00
00113              -0.20    -1120.00
00114              -0.20    -1120.00
00115              -0.60    -1040.00
00116              -1.20    -1040.00
00117              -0.60    -1040.00
00118              -0.60     -960.00
00119              -0.60    -1040.00
00120              -0.60     -960.00
00121              -0.40     -960.00
00122              -0.20     -880.00
00123              -0.20     -800.00
00124               0.60     -800.00
00125               0.20     -800.00
00126               0.20     -800.00
00127              -0.40     -720.00
00128              -1.00     -800.00
00129               0.60     -640.00
00130              -0.60     -640.00
00131              -2.20     -640.00
00132               1.60     -640.00
00133              -0.40     -560.00
00134              -4.60     -480.00
00135               1.60     -560.00
00136               0.20     -400.00
00137              -2.80     -400.00
00138               2.00     -400.00
00139               0.60     -320.00
00140              -2.60     -320.00
00141               1.00     -320.00
00142               0.40     -240.00
00143              -0.60     -240.00
00144               0.00     -160.00
00145               0.40     -160.00
00146              -0.60     -160.00
00147              -1.20     -160.00
00148              -1.80      -80.00
00149              -1.40        0.00
00150               0.20      -80.00
00151              -1.00        0.00
00152              -0.20        0.00
00153               3.60        0.00
00154               0.60       80.00
00155              -1.60       80.00
00156               1.80      160.00
00157               0.60      160.00
00158              -0.20      160.00
00159              -0.80      240.00
00160               3.60      240.00
00161               9.80      320.00
00162              15.60      320.00
00163             -25.00      480.00
00164             -21.20      480.00
00165              18.00      560.00
00166               1.80      480.00
00167             -25.00      560.00
00168               5.40      560.00
00169              25.00      560.00
00170             -25.00      640.00
00171             -25.00      640.00
00172              25.00      720.00
00173             -25.00      720.00
00174             -16.80      720.00
00175              25.00      800.00
00176             -17.80      800.00
00177               0.40      800.00
00178               3.60      880.00
00179              -2.80      880.00
00180              -1.40      880.00
00181               2.20      960.00
00182              -4.00      960.00
00183               3.40      960.00
00184               9.40     1040.00
00185             -17.20     1040.00
00186               1.40     1120.00
00187              15.00     1120.00
00188             -12.20     1120.00
00189              -0.60     1120.00
00190              11.20     1120.00
00191              -4.60     1280.00
00192              -8.40     1200.00
00193               6.80     1280.00
00194              -0.60     1280.00
00195              -2.60     1280.00
00196               3.80     1360.00
00197              -1.80     1360.00
00198              -1.00     1280.00
00199              -2.20     1440.00
00200              -0.40     1440.00
00201               2.00     1440.00
00202               1.20     1440.00
00203              -1.80     1520.00
00204               1.20     1440.00
00205               1.20     1520.00
00206              -3.40     1520.00
00207               0.40     1520.00
00208               2.20     1600.00
00209              -1.80     1520.00
00210              -1.20     1600.00
00211               0.20     1600.00
00212              -1.00     1600.00
00213              -1.20     1600.00
00214               0.40     1600.00
00215               0.20     1600.00
00216              -0.40     1680.00
00217              -0.20     1680.00
00218              -0.40     1760.00
00219               0.20     1680.00
00220               0.40     1760.00
00221              -0.60     1680.00
00222               1.00     1680.00
00223              -0.20     1680.00
00224              -2.20     1760.00
00225              -0.60     1760.00
00226              -0.40     1760.00
00227              -1.00     1840.00
00228              -0.60     1760.00
00229               0.20     1760.00
00230              -0.40     1840.00
00231              -0.60     1760.00
00232               0.40     1760.00
00233               0.40     1760.00
00234               0.40     1760.00
00235               0.40     1760.00
00236              -0.20     1840.00
00237              -0.20     1760.00
00238              -1.00     1760.00
00239              -0.60     1760.00
00240              -0.20     1840.00
00241              -1.00     1760.00
00242              -0.60     1760.00
00243              -0.60     1760.00
00244               0.20     1760.00
00245               0.40     1760.00
00246              -0.20     1760.00
00247               0.40     1760.00
00248               0.40     1760.00
00249               0.20     1680.00
00250               0.20     1760.00
00251              -1.00     1600.00
00252              -0.40     1600.00
00253              -0.40     1600.00
00254              -0.80     1600.00
00255              -0.60     1600.00
00256               0.20     1600.00
00257              -0.60     1600.00
00258              -0.40     1600.00
00259               0.00     1520.00
00260              -0.60     1520.00
00261               0.20     1600.00
00262               0.80     1520.00
00263              -0.60     1520.00
00264               0.20     1520.00
00265               0.40     1440.00
00266              -0.60     1440.00
00267              -0.20     1440.00
00268              -1.00     1440.00
00269              -0.60     1360.00
00270              -0.20     1360.00
00271              -1.00     1360.00
00272              -0.60     1360.00
00273              -0.20     1280.00
00274              -0.60     1280.00
00275              -0.20     1280.00
00276              -0.20     1280.00
00277              -0.60     1200.00
00278              -0.40     1200.00
00279               0.00     1200.00
00280              -0.60     1120.00
00281               0.00     1120.00
00282              -0.20     1120.00
00283              -0.60     1040.00
00284              -0.60     1120.00
00285              -0.60     1120.00
00286              -0.60      960.00
00287              -0.60      960.00
00288              -1.00      880.00
00289              -0.60      960.00
00290              -0.40      880.00
00291              -0.60      800.00
00292              -0.60      800.00
00293              -0.20      800.00
