Unit:(mV)
                     CH1         CH2
Frequency              ? 300.491 kHz
00001             -25.00     -480.00
00002              25.00     -480.00
00003              25.00     -480.00
00004             -25.00     -640.00
00005              25.00     -480.00
00006              25.00     -640.00
00007             -25.00     -720.00
00008              25.00     -640.00
00009              12.60     -720.00
00010             -25.00     -800.00
00011              23.80     -800.00
00012              -9.20     -800.00
00013              -8.20     -880.00
00014               0.40     -960.00
00015              10.00     -880.00
00016             -17.40     -960.00
00017              12.80     -960.00
00018               7.60     -960.00
00019             -25.00    -1040.00
00020              18.60    -1040.00
00021              -1.40    -1040.00
00022             -12.40    -1120.00
00023               6.60    -1120.00
00024               7.40    -1120.00
00025             -11.20    -1200.00
00026              -3.60    -1200.00
00027               8.00    -1200.00
00028             -10.00    -1280.00
00029               3.60    -1280.00
00030              -1.40    -1280.00
00031              -1.40    -1360.00
00032              -2.80    -1440.00
00033              -2.80    -1360.00
00034              -2.20    -1360.00
00035               0.20    -1440.00
00036               0.40    -1440.00
00037              -5.80    -1440.00
00038               2.80    -1440.00
00039              -3.00    -1520.00
00040              -5.40    -1600.00
00041               1.80    -1520.00
00042               0.20    -1520.00
00043              -4.40    -1600.00
00044              -0.60    -1600.00
00045              -1.00    -1600.00
00046              -4.20    -1600.00
00047              -1.60    -1600.00
00048              -0.20    -1680.00
00049              -2.60    -1680.00
00050              -3.40    -1600.00
00051               0.40    -1680.00
00052              -4.00    -1680.00
00053              -2.60    -1680.00
00054               0.40    -1680.00
00055              -2.80    -1680.00
00056              -1.00    -1680.00
00057              -1.00    -1680.00
00058              -3.00    -1680.00
00059              -2.00    -1760.00
00060              -0.20    -1760.00
00061              -2.00    -1680.00
00062              -2.20    -1760.00
00063              -1.20    -1760.00
00064              -3.40    -1760.00
00065              -2.00    -1760.00
00066              -1.20    -1760.00
00067              -2.40    -1760.00
00068              -1.20    -1760.00
00069              -1.80    -1760.00
00070              -1.20    -1760.00
00071              -2.20    -1760.00
00072              -2.20    -1760.00
00073               1.20    -1760.00
00074              -3.00    -1760.00
00075              -2.20    -1760.00
00076              -0.20    -1760.00
00077              -4.40    -1680.00
00078              -1.00    -1760.00
00079              -0.60    -1680.00
00080              -3.00    -1760.00
00081              -1.00    -1760.00
00082              -2.80    -1680.00
00083              -2.80    -1760.00
00084              -1.00    -1680.00
00085              -2.20    -1680.00
00086              -1.00    -1680.00
00087              -0.60    -1680.00
00088              -1.40    -1680.00
00089              -2.20    -1680.00
00090              -2.00    -1680.00
00091              -1.40    -1600.00
00092              -2.00    -1600.00
00093              -1.20    -1600.00
00094              -1.40    -1600.00
00095              -3.20    -1600.00
00096              -1.80    -1600.00
00097              -3.00    -1600.00
00098              -2.60    -1520.00
00099              -0.60    -1440.00
00100              -2.60    -1440.00
00101              -0.60    -1440.00
00102               0.40    -1440.00
00103              -2.80    -1440.00
00104              -0.80    -1440.00
00105               0.60    -1360.00
00106              -3.00    -1360.00
00107              -2.60    -1280.00
00108              -1.20    -1360.00
00109              -3.40    -1360.00
00110              -1.40    -1280.00
00111              -0.60    -1200.00
00112              -2.20    -1200.00
00113              -1.20    -1280.00
00114              -1.40    -1120.00
00115              -2.20    -1120.00
00116              -1.40    -1120.00
00117              -0.20    -1040.00
00118              -0.40    -1040.00
00119              -0.60    -1040.00
00120              -1.20     -960.00
00121              -1.40     -960.00
00122              -1.20     -960.00
00123              -1.80     -960.00
00124              -1.80     -880.00
00125              -1.00     -880.00
00126              -2.00     -800.00
00127              -1.20     -800.00
00128              -0.40     -800.00
00129              -1.20     -800.00
00130              -0.60     -720.00
00131              -0.40     -720.00
00132              -1.20     -640.00
00133              -0.40     -640.00
00134              -0.60     -640.00
00135              -0.60     -560.00
00136              -0.60     -480.00
00137              -1.20     -480.00
00138              -0.20     -480.00
00139              -0.60     -400.00
00140              -2.20     -320.00
00141              -0.60     -320.00
00142              -0.60     -320.00
00143              -1.20     -320.00
00144               0.20     -240.00
00145              -0.20     -160.00
00146              -0.40     -160.00
00147               0.40     -160.00
00148              -0.40     -160.00
00149              -1.00      -80.00
00150              -0.20      -80.00
00151              -0.20        0.00
00152               0.20        0.00
00153               0.20        0.00
00154               1.20       80.00
00155               1.80      160.00
00156              -2.20       80.00
00157               0.20      160.00
00158               2.00      160.00
00159              -0.40      160.00
00160              -1.20      240.00
00161               4.40      240.00
00162               8.40      320.00
00163              18.20      400.00
00164             -20.40      480.00
00165             -25.00      400.00
00166              17.00      480.00
00167               7.40      480.00
00168             -25.00      560.00
00169              -2.20      640.00
00170              25.00      640.00
00171              -7.40      720.00
00172             -25.00      640.00
00173              25.00      720.00
00174             -13.40      640.00
00175             -25.00      800.00
00176              25.00      800.00
00177             -10.40      800.00
00178              -3.80      800.00
00179               5.20      880.00
00180              -1.20      880.00
00181               0.40      960.00
00182               2.20      960.00
00183              -1.60      960.00
00184               2.80      960.00
00185              11.80     1040.00
00186             -14.20     1120.00
00187              -5.00     1120.00
00188              18.60     1120.00
00189              -9.40     1120.00
00190              -4.60     1200.00
00191              12.20     1200.00
00192               0.40     1200.00
00193             -10.00     1280.00
00194               8.20     1280.00
00195               3.80     1280.00
00196              -3.60     1280.00
00197               6.00     1280.00
00198               1.20     1440.00
00199              -0.60     1360.00
00200              -0.60     1440.00
00201               1.60     1440.00
00202               1.40     1440.00
00203               2.00     1440.00
00204              -1.00     1520.00
00205               0.60     1520.00
00206               3.20     1520.00
00207              -2.80     1520.00
