Unit:(mV)
                     CH1         CH2
Frequency              ? 298.968 kHz
00001             500.00    -2000.00
00002             800.00    -2600.00
00003             220.00    -2600.00
00004            -540.00    -2800.00
00005            -660.00    -3000.00
00006            -660.00    -3000.00
00007            -300.00    -2800.00
00008             480.00    -3600.00
00009             -20.00    -3600.00
00010             -60.00    -3600.00
00011             300.00    -4400.00
00012            -160.00    -3800.00
00013             140.00    -4200.00
00014             140.00    -4600.00
00015             -40.00    -4600.00
00016             220.00    -5200.00
00017              60.00    -5000.00
00018            -100.00    -5600.00
00019             -60.00    -5400.00
00020             140.00    -5400.00
00021              60.00    -6000.00
00022             -40.00    -6000.00
00023             140.00    -6400.00
00024               0.00    -6400.00
00025              60.00    -6600.00
00026             140.00    -7000.00
00027              40.00    -6800.00
00028              60.00    -7400.00
00029              60.00    -7200.00
00030             100.00    -7600.00
00031              60.00    -7600.00
00032              20.00    -7800.00
00033              80.00    -8200.00
00034             100.00    -8000.00
00035              60.00    -8400.00
00036              60.00    -8400.00
00037             100.00    -8600.00
00038             100.00    -8800.00
00039             100.00    -8800.00
00040              80.00    -9000.00
00041              60.00    -9200.00
00042              60.00    -9200.00
00043             100.00    -9200.00
00044             120.00    -9400.00
00045              80.00    -9600.00
00046              80.00    -9800.00
00047             100.00    -9800.00
00048              80.00    -9800.00
00049             100.00   -10200.00
00050             100.00   -10200.00
00051             100.00   -10400.00
00052              80.00   -10200.00
00053              80.00   -10400.00
00054             100.00   -10400.00
00055             100.00   -10600.00
00056             140.00   -10600.00
00057             140.00   -10600.00
00058             120.00   -10800.00
00059             120.00   -10800.00
00060             100.00   -11000.00
00061             100.00   -11000.00
00062             140.00   -11000.00
00063             140.00   -11000.00
00064             160.00   -11000.00
00065             120.00   -11400.00
00066             120.00   -11000.00
00067             140.00   -11200.00
00068             140.00   -11200.00
00069             160.00   -11000.00
00070             140.00   -11400.00
00071             140.00   -11400.00
00072             140.00   -11400.00
00073             140.00   -11200.00
00074             140.00   -11400.00
00075             140.00   -11400.00
00076             160.00   -11400.00
00077             160.00   -11400.00
00078             140.00   -11400.00
00079             140.00   -11400.00
00080             140.00   -11400.00
00081             140.00   -11200.00
00082             160.00   -11200.00
00083             160.00   -11400.00
00084             180.00   -11200.00
00085             160.00   -11000.00
00086             160.00   -11000.00
00087             140.00   -11200.00
