Unit:(mV)
                     CH1         CH2
Frequency              ? 299.072 kHz
00001             920.00    -2800.00
00002             500.00    -3000.00
00003            -420.00    -3400.00
00004            -720.00    -3600.00
00005            -420.00    -3600.00
00006            -420.00    -3800.00
00007            -420.00    -4000.00
00008             320.00    -4600.00
00009             160.00    -4600.00
00010              80.00    -4600.00
00011              80.00    -5600.00
00012             -60.00    -5200.00
00013             220.00    -5800.00
00014              40.00    -6000.00
00015             140.00    -6000.00
00016             100.00    -6400.00
00017            -100.00    -6600.00
00018             -20.00    -7200.00
00019               0.00    -6800.00
00020               0.00    -7400.00
00021             -80.00    -7600.00
00022              60.00    -7600.00
00023              40.00    -8400.00
00024             -20.00    -8200.00
00025              60.00    -8600.00
00026               0.00    -8600.00
00027              60.00    -9000.00
00028              60.00    -9200.00
00029             -20.00    -9200.00
00030             -60.00    -9600.00
00031              60.00    -9400.00
00032              20.00   -10000.00
00033               0.00   -10200.00
00034              60.00   -10400.00
00035              20.00   -10600.00
00036              20.00   -10600.00
00037              60.00   -11000.00
00038              60.00   -11000.00
00039               0.00   -11200.00
00040              20.00   -11400.00
00041              60.00   -11600.00
00042               0.00   -11600.00
00043              60.00   -11800.00
00044              60.00   -12000.00
00045              60.00   -12200.00
00046              60.00   -12200.00
00047              60.00   -12400.00
00048              60.00   -12600.00
00049              60.00   -12600.00
00050              80.00   -12600.00
00051              60.00   -13000.00
00052              60.00   -13000.00
00053              60.00   -13200.00
00054              60.00   -13200.00
00055              80.00   -13400.00
00056             100.00   -13400.00
00057              80.00   -13400.00
00058              80.00   -13600.00
00059              80.00   -13800.00
00060              60.00   -13600.00
00061              80.00   -14000.00
00062              80.00   -13800.00
00063             100.00   -13800.00
00064              80.00   -14000.00
00065              80.00   -14200.00
00066              80.00   -14200.00
00067             100.00   -14000.00
00068              80.00   -14200.00
00069             100.00   -14200.00
00070             100.00   -14200.00
00071             100.00   -14200.00
00072             100.00   -14200.00
00073             100.00   -14200.00
00074             100.00   -14400.00
00075             100.00   -14200.00
00076             100.00   -14200.00
00077             100.00   -14200.00
00078             100.00   -14200.00
00079             100.00   -14200.00
00080             100.00   -14200.00
00081             140.00   -14200.00
00082             140.00   -14200.00
00083             100.00   -14000.00
00084             140.00   -14200.00
00085             100.00   -14000.00
00086             100.00   -14000.00
00087             100.00   -13600.00
00088             100.00   -13800.00
00089             120.00   -13800.00
00090             140.00   -13600.00
00091             100.00   -13600.00
00092             100.00   -13600.00
00093             100.00   -13400.00
00094             100.00   -13200.00
00095             100.00   -13400.00
00096             120.00   -13200.00
00097             100.00   -13000.00
00098             100.00   -13000.00
00099             100.00   -12600.00
00100             100.00   -12800.00
00101             100.00   -12600.00
00102             140.00   -12400.00
00103             100.00   -12200.00
00104             100.00   -12200.00
00105             100.00   -12000.00
00106              80.00   -12000.00
00107             120.00   -11800.00
00108             120.00   -11400.00
00109             140.00   -11400.00
00110             140.00   -11400.00
00111             140.00   -11000.00
00112             100.00   -10800.00
00113             100.00   -10600.00
00114             100.00   -10600.00
00115             120.00   -10200.00
00116             140.00   -10200.00
00117             140.00    -9800.00
00118             100.00    -9800.00
00119             100.00    -9400.00
00120             100.00    -9400.00
00121             100.00    -9000.00
00122             100.00    -9000.00
00123             100.00    -8600.00
00124             100.00    -8400.00
00125             100.00    -8600.00
00126             100.00    -8200.00
00127             100.00    -7600.00
00128             120.00    -7600.00
00129             100.00    -7200.00
00130             100.00    -7000.00
00131             100.00    -7000.00
00132             100.00    -6600.00
00133             100.00    -6600.00
00134             100.00    -6200.00
00135             100.00    -6000.00
00136             100.00    -5800.00
00137              80.00    -5400.00
00138              80.00    -5200.00
00139              80.00    -5000.00
00140             100.00    -4600.00
00141             100.00    -4400.00
00142              80.00    -4200.00
00143             100.00    -3800.00
00144              80.00    -3600.00
00145              80.00    -3400.00
00146              80.00    -3000.00
00147             100.00    -3000.00
00148              80.00    -2600.00
00149              80.00    -2600.00
00150              80.00    -2000.00
00151              80.00    -2000.00
00152              60.00    -1600.00
00153              60.00    -1400.00
00154              60.00    -1200.00
00155              60.00     -800.00
00156              80.00     -600.00
00157              60.00     -200.00
00158              60.00        0.00
00159              80.00      200.00
00160             140.00      600.00
00161             200.00      800.00
00162             220.00     1000.00
00163             160.00     1200.00
00164             140.00     1400.00
00165             140.00     1800.00
00166             240.00     2000.00
00167             740.00     2200.00
00168            1180.00     2800.00
00169             300.00     2800.00
00170            -720.00     3000.00
00171            -740.00     3400.00
00172            -480.00     3800.00
00173            -500.00     3800.00
00174             500.00     4200.00
00175             380.00     4400.00
00176             -60.00     4600.00
00177             160.00     4600.00
00178            -100.00     5200.00
00179             160.00     5800.00
00180              60.00     5200.00
00181             160.00     6200.00
00182             180.00     6000.00
00183            -100.00     6200.00
00184              60.00     7000.00
00185            -140.00     6600.00
00186              60.00     7400.00
00187              60.00     7000.00
00188              20.00     7800.00
00189              20.00     7800.00
00190              40.00     8200.00
00191              60.00     8400.00
00192             -80.00     8200.00
00193             120.00     9000.00
00194             -20.00     8600.00
00195              20.00     9200.00
00196             -60.00     9400.00
00197               0.00     9600.00
00198             -60.00     9800.00
00199               0.00     9800.00
00200              60.00    10200.00
00201             -20.00    10400.00
00202               0.00    10600.00
