Unit:(mV)
                     CH1         CH2
Frequency              ? 261.304 kHz
00001              14.00      240.00
00002              -6.00      240.00
00003               2.00      200.00
00004               2.00      320.00
00005             -88.00      280.00
00006             -64.00      240.00
00007             150.00      400.00
00008              74.00      400.00
00009            -126.00      480.00
00010             -82.00      440.00
00011              72.00      480.00
00012              92.00      480.00
00013             -50.00      560.00
00014             -98.00      640.00
00015              18.00      520.00
00016             102.00      640.00
00017             -10.00      640.00
00018            -102.00      720.00
00019             -34.00      680.00
00020             102.00      720.00
00021              62.00      800.00
00022            -118.00      800.00
00023             -86.00      800.00
00024             122.00      840.00
00025              82.00      880.00
00026            -130.00      880.00
00027             -82.00      960.00
00028             128.00      960.00
00029              74.00      960.00
00030            -144.00     1000.00
00031             -66.00     1000.00
00032             142.00     1080.00
00033              42.00     1080.00
00034            -152.00     1080.00
00035             -24.00     1120.00
00036             136.00     1160.00
00037             -10.00     1160.00
00038            -128.00     1160.00
00039              24.00     1200.00
00040             110.00     1200.00
00041             -46.00     1240.00
00042             -98.00     1320.00
00043              50.00     1320.00
00044              72.00     1320.00
00045             -64.00     1320.00
00046             -58.00     1360.00
00047              56.00     1360.00
00048              40.00     1400.00
00049             -62.00     1400.00
00050             -34.00     1440.00
00051              46.00     1440.00
00052              18.00     1440.00
00053             -50.00     1480.00
00054             -18.00     1480.00
00055              40.00     1520.00
00056               2.00     1520.00
00057             -42.00     1520.00
00058              -8.00     1560.00
00059              30.00     1600.00
00060              -8.00     1600.00
00061             -32.00     1600.00
00062               6.00     1600.00
00063              16.00     1600.00
00064             -16.00     1600.00
00065             -18.00     1640.00
00066               6.00     1640.00
00067               8.00     1640.00
00068             -14.00     1680.00
00069             -14.00     1680.00
00070               0.00     1680.00
00071               0.00     1720.00
00072             -10.00     1760.00
00073             -10.00     1720.00
00074              -2.00     1760.00
00075               0.00     1760.00
00076              -6.00     1760.00
00077             -10.00     1800.00
00078              -4.00     1760.00
00079              -2.00     1760.00
00080             -10.00     1760.00
00081             -10.00     1760.00
00082               0.00     1800.00
00083               0.00     1800.00
00084             -10.00     1800.00
00085             -10.00     1800.00
00086              -2.00     1800.00
00087               0.00     1840.00
00088              -8.00     1800.00
00089             -10.00     1800.00
00090               0.00     1800.00
00091              -2.00     1800.00
00092             -10.00     1800.00
00093             -10.00     1800.00
00094              -2.00     1800.00
00095              -2.00     1800.00
00096              -6.00     1800.00
