Unit:(mV)
                     CH1         CH2
Frequency              ? 261.320 kHz
00001              34.00      200.00
00002              28.00      240.00
00003               6.00      160.00
00004              10.00      320.00
00005             -46.00      320.00
00006            -246.00      240.00
00007             -34.00      400.00
00008             246.00      360.00
00009             154.00      480.00
00010             -96.00      400.00
00011            -216.00      440.00
00012             -34.00      480.00
00013             192.00      520.00
00014             112.00      640.00
00015            -160.00      520.00
00016            -136.00      640.00
00017             112.00      640.00
00018             142.00      680.00
00019             -98.00      680.00
00020            -172.00      680.00
00021              64.00      800.00
00022             182.00      760.00
00023             -54.00      800.00
00024            -170.00      800.00
00025              22.00      880.00
00026             136.00      880.00
00027             -20.00      840.00
00028            -112.00      960.00
00029               6.00      960.00
00030              66.00      960.00
00031             -30.00      960.00
00032             -48.00     1040.00
00033              24.00     1080.00
00034               8.00     1080.00
00035             -38.00     1120.00
00036               0.00     1160.00
00037              22.00     1160.00
00038             -34.00     1160.00
00039             -38.00     1160.00
00040              26.00     1240.00
00041              22.00     1200.00
00042             -38.00     1200.00
00043             -32.00     1280.00
00044              10.00     1280.00
00045               2.00     1320.00
00046             -14.00     1320.00
00047              -6.00     1360.00
00048              -8.00     1360.00
00049             -22.00     1360.00
00050             -18.00     1400.00
00051               2.00     1440.00
00052               2.00     1440.00
00053             -10.00     1440.00
00054             -14.00     1480.00
00055              -8.00     1480.00
00056              -6.00     1520.00
00057             -10.00     1520.00
00058             -14.00     1520.00
00059              -4.00     1560.00
00060              -2.00     1600.00
00061             -14.00     1560.00
00062             -14.00     1600.00
00063             -10.00     1600.00
00064             -10.00     1640.00
00065              -2.00     1640.00
00066               0.00     1640.00
00067             -16.00     1680.00
00068             -22.00     1640.00
00069              -2.00     1680.00
00070               6.00     1680.00
00071              -6.00     1680.00
00072             -16.00     1680.00
00073             -14.00     1720.00
00074             -10.00     1720.00
00075              -8.00     1760.00
00076              -2.00     1760.00
00077              -6.00     1760.00
00078             -14.00     1800.00
00079             -10.00     1760.00
00080              -8.00     1760.00
00081              -8.00     1800.00
00082              -6.00     1800.00
00083              -8.00     1800.00
00084              -8.00     1800.00
00085             -10.00     1800.00
00086             -12.00     1800.00
00087              -8.00     1800.00
00088              -6.00     1800.00
00089             -10.00     1760.00
00090             -10.00     1800.00
00091              -8.00     1800.00
00092             -10.00     1800.00
00093             -14.00     1800.00
00094             -10.00     1800.00
00095              -8.00     1800.00
00096              -6.00     1800.00
00097             -10.00     1800.00
00098             -10.00     1800.00
00099             -10.00     1800.00
00100             -10.00     1760.00
00101             -10.00     1800.00
00102              -8.00     1760.00
00103             -10.00     1760.00
00104             -10.00     1760.00
00105              -8.00     1720.00
00106             -12.00     1760.00
00107             -10.00     1720.00
00108             -12.00     1760.00
00109             -10.00     1760.00
00110             -10.00     1680.00
00111             -10.00     1720.00
00112              -8.00     1720.00
00113             -12.00     1680.00
00114             -10.00     1640.00
00115              -8.00     1680.00
00116             -10.00     1640.00
00117             -10.00     1640.00
00118             -10.00     1640.00
00119              -8.00     1600.00
00120              -8.00     1600.00
00121             -10.00     1600.00
00122             -10.00     1560.00
00123              -8.00     1560.00
00124              -8.00     1560.00
00125             -10.00     1520.00
00126             -10.00     1520.00
00127             -14.00     1520.00
00128              -8.00     1480.00
00129              -2.00     1480.00
00130              -6.00     1480.00
00131             -10.00     1440.00
00132             -10.00     1440.00
00133              -8.00     1400.00
00134              -8.00     1360.00
00135              -8.00     1360.00
00136              -8.00     1320.00
00137              -6.00     1360.00
00138              -6.00     1320.00
00139             -10.00     1280.00
00140              -8.00     1280.00
00141              -8.00     1240.00
00142              -8.00     1240.00
00143              -8.00     1200.00
00144              -4.00     1200.00
00145              -6.00     1160.00
00146              -8.00     1120.00
00147              -6.00     1120.00
00148             -10.00     1080.00
00149              -6.00     1080.00
00150              -8.00     1080.00
00151              -8.00     1000.00
00152              -2.00     1000.00
00153              -8.00      960.00
00154              -8.00      960.00
00155              -6.00      920.00
00156              -4.00      880.00
00157              -6.00      880.00
00158              -6.00      840.00
00159              -6.00      800.00
00160             -10.00      800.00
00161              -8.00      760.00
00162              -6.00      720.00
00163              -6.00      720.00
00164              -8.00      680.00
00165              -8.00      640.00
00166              -6.00      640.00
00167              -2.00      640.00
00168              -6.00      560.00
00169             -10.00      560.00
00170              -6.00      520.00
00171              -6.00      480.00
00172              -4.00      480.00
00173              -8.00      440.00
00174              -8.00      400.00
00175              -2.00      400.00
00176              -2.00      360.00
00177             -10.00      320.00
00178              -8.00      320.00
00179              -6.00      240.00
00180              -6.00      240.00
00181              -2.00      200.00
00182              -2.00      200.00
00183              -2.00      160.00
00184              -2.00      160.00
00185              -2.00      160.00
00186              -2.00       80.00
00187               0.00       80.00
00188              -2.00       40.00
00189              -6.00        0.00
00190              -2.00        0.00
00191              -2.00      -80.00
00192               8.00      -80.00
00193              42.00     -120.00
00194              28.00     -160.00
00195              -2.00     -120.00
00196              -6.00     -280.00
00197             -46.00     -280.00
00198            -212.00     -280.00
00199             -42.00     -200.00
00200             236.00     -280.00
00201             176.00     -320.00
00202             -86.00     -440.00
00203            -242.00     -440.00
00204             -52.00     -320.00
00205             224.00     -480.00
00206             166.00     -480.00
00207            -172.00     -560.00
00208            -210.00     -480.00
00209             126.00     -600.00
00210             220.00     -640.00
00211             -88.00     -640.00
00212            -226.00     -640.00
00213              46.00     -640.00
00214             224.00     -760.00
00215               0.00     -760.00
00216            -196.00     -720.00
00217             -32.00     -800.00
00218             150.00     -800.00
00219              46.00     -800.00
00220             -94.00     -880.00
00221             -42.00     -880.00
00222              38.00     -920.00
00223              34.00     -920.00
00224               6.00     -920.00
00225             -26.00    -1000.00
00226             -24.00    -1040.00
00227              18.00    -1000.00
00228              34.00    -1080.00
00229             -10.00    -1080.00
00230             -46.00    -1120.00
00231               0.00    -1120.00
00232              56.00    -1120.00
00233               6.00    -1120.00
00234             -50.00    -1200.00
00235              -4.00    -1200.00
00236              40.00    -1200.00
00237               8.00    -1280.00
00238             -22.00    -1240.00
00239             -10.00    -1280.00
00240              18.00    -1320.00
00241              14.00    -1280.00
00242             -14.00    -1320.00
00243             -14.00    -1360.00
00244               8.00    -1360.00
00245               8.00    -1360.00
00246               2.00    -1440.00
00247               6.00    -1400.00
00248               6.00    -1440.00
00249              10.00    -1440.00
00250               8.00    -1480.00
00251              -6.00    -1520.00
00252              -8.00    -1480.00
00253               2.00    -1480.00
00254              14.00    -1520.00
00255               8.00    -1520.00
00256              -4.00    -1480.00
00257               0.00    -1560.00
00258              14.00    -1600.00
00259              10.00    -1600.00
00260              -6.00    -1600.00
00261               0.00    -1600.00
00262               6.00    -1600.00
00263               6.00    -1600.00
00264               4.00    -1640.00
00265               4.00    -1640.00
00266               2.00    -1680.00
00267               8.00    -1680.00
00268               8.00    -1680.00
00269               6.00    -1680.00
00270               6.00    -1680.00
00271               6.00    -1680.00
00272               4.00    -1720.00
00273               4.00    -1680.00
00274               0.00    -1720.00
00275               6.00    -1760.00
00276               8.00    -1720.00
00277               6.00    -1720.00
00278              10.00    -1720.00
00279              10.00    -1720.00
00280               2.00    -1720.00
00281               0.00    -1720.00
00282               6.00    -1720.00
00283               6.00    -1720.00
00284               2.00    -1720.00
00285               2.00    -1720.00
00286               6.00    -1720.00
00287              10.00    -1720.00
00288               8.00    -1720.00
00289               0.00    -1720.00
00290               0.00    -1720.00
00291               0.00    -1720.00
00292               0.00    -1720.00
00293               6.00    -1720.00
00294               6.00    -1680.00
00295               2.00    -1720.00
00296               8.00    -1680.00
00297               2.00    -1680.00
00298               6.00    -1680.00
00299               8.00    -1640.00
00300               6.00    -1680.00
00301              -2.00    -1640.00
00302              -6.00    -1680.00
00303               6.00    -1600.00
00304               8.00    -1640.00
00305               2.00    -1600.00
00306               0.00    -1560.00
00307               6.00    -1560.00
00308               6.00    -1560.00
00309               2.00    -1560.00
00310               0.00    -1520.00
00311               0.00    -1560.00
00312               2.00    -1480.00
00313               6.00    -1520.00
00314               8.00    -1480.00
00315               2.00    -1480.00
00316              -8.00    -1480.00
00317              -2.00    -1440.00
00318               8.00    -1440.00
00319              16.00    -1400.00
00320              10.00    -1400.00
00321               0.00    -1360.00
00322              -8.00    -1360.00
00323               0.00    -1360.00
00324               2.00    -1320.00
00325               6.00    -1320.00
00326               8.00    -1280.00
00327               2.00    -1280.00
00328               0.00    -1240.00
00329               0.00    -1240.00
00330               6.00    -1240.00
00331              14.00    -1200.00
00332              10.00    -1200.00
00333              -2.00    -1160.00
00334              -6.00    -1120.00
00335             -10.00    -1120.00
00336               2.00    -1120.00
00337              10.00    -1080.00
00338               6.00    -1040.00
00339              -2.00    -1040.00
00340               0.00    -1000.00
00341               0.00     -960.00
00342               6.00     -960.00
00343               0.00     -920.00
00344              -2.00     -880.00
00345               0.00     -880.00
00346               0.00     -840.00
00347              -2.00     -840.00
00348               4.00     -800.00
00349               8.00     -760.00
00350               4.00     -760.00
00351               0.00     -720.00
00352              -2.00     -720.00
00353             -10.00     -720.00
00354              -6.00     -640.00
00355               0.00     -640.00
00356               0.00     -600.00
00357               6.00     -560.00
00358               0.00     -560.00
00359              -6.00     -560.00
00360              -2.00     -480.00
00361               0.00     -480.00
00362              -2.00     -440.00
00363              -2.00     -400.00
00364              -6.00     -400.00
00365              -2.00     -360.00
00366               0.00     -320.00
00367              -2.00     -280.00
00368              -6.00     -240.00
00369               0.00     -240.00
00370               0.00     -240.00
00371              -2.00     -160.00
00372              -8.00     -160.00
00373              -8.00     -120.00
00374               0.00      -80.00
00375              -2.00      -80.00
00376              -2.00      -40.00
00377               0.00        0.00
00378               0.00        0.00
00379              -2.00       80.00
00380              -6.00       80.00
00381              -8.00       80.00
00382               0.00      120.00
00383              14.00      160.00
00384              40.00      240.00
00385              14.00      200.00
00386               0.00      200.00
00387               2.00      320.00
00388            -112.00      280.00
00389            -232.00      280.00
00390              92.00      400.00
00391             246.00      360.00
00392              66.00      480.00
00393            -160.00      400.00
00394            -194.00      440.00
00395              58.00      480.00
00396             210.00      560.00
00397              22.00      640.00
00398            -202.00      520.00
00399             -60.00      640.00
00400             152.00      640.00
00401              82.00      680.00
00402            -160.00      720.00
00403            -114.00      680.00
00404             136.00      800.00
00405             128.00      800.00
00406            -128.00      800.00
00407            -130.00      840.00
00408              90.00      880.00
00409             102.00      880.00
00410             -72.00      880.00
00411             -88.00      960.00
00412              48.00      960.00
00413              42.00     1000.00
00414             -48.00     1000.00
00415             -30.00     1040.00
00416              32.00     1080.00
00417             -10.00     1040.00
00418             -32.00     1120.00
00419              16.00     1120.00
00420               8.00     1160.00
00421             -42.00     1160.00
00422             -14.00     1200.00
00423              30.00     1200.00
00424             -10.00     1240.00
00425             -42.00     1240.00
00426               0.00     1280.00
00427              20.00     1280.00
00428             -14.00     1280.00
00429             -26.00     1360.00
00430               0.00     1360.00
00431               0.00     1360.00
00432             -16.00     1400.00
00433             -16.00     1440.00
00434               0.00     1440.00
00435              -8.00     1440.00
00436             -16.00     1480.00
00437             -10.00     1480.00
