Unit:(mV)
                     CH1         CH2
Frequency              ? 257.723 kHz
00001               0.00    -2600.00
00002               2.00    -2400.00
00003               8.00    -2400.00
00004               8.00    -2400.00
00005               6.00    -2400.00
00006               6.00    -2200.00
00007               0.00    -2200.00
00008               6.00    -2000.00
00009               6.00    -2200.00
00010               2.00    -2000.00
00011               6.00    -2000.00
00012               6.00    -2000.00
00013               4.00    -2000.00
00014               0.00    -1800.00
00015               2.00    -1600.00
00016               4.00    -1600.00
00017               6.00    -1600.00
00018               2.00    -1600.00
00019               0.00    -1600.00
00020               0.00    -1600.00
00021               4.00    -1400.00
00022               6.00    -1400.00
00023               8.00    -1200.00
00024               0.00    -1000.00
00025              -2.00    -1000.00
00026               0.00    -1000.00
00027               0.00     -800.00
00028               2.00    -1000.00
00029               8.00     -800.00
00030               6.00     -800.00
00031              -2.00     -600.00
00032              -6.00     -800.00
00033              -6.00     -600.00
00034               0.00     -400.00
00035               2.00     -600.00
00036               0.00     -400.00
00037               0.00     -400.00
00038              -2.00     -400.00
00039              -2.00        0.00
00040              -6.00     -200.00
00041              -2.00        0.00
00042               0.00        0.00
00043               0.00        0.00
00044              -6.00        0.00
00045              -2.00      200.00
00046               0.00      200.00
00047               0.00      400.00
00048               0.00      200.00
00049               6.00      400.00
00050               0.00      400.00
00051              -6.00      600.00
00052              -8.00      600.00
00053              -2.00      800.00
00054              40.00      800.00
00055             182.00     1000.00
00056              62.00     1000.00
00057            -254.00      800.00
00058            -254.00      800.00
00059             246.00     1200.00
00060             246.00     1400.00
00061            -254.00     1000.00
00062            -254.00     1000.00
00063             246.00     1600.00
00064             246.00     1600.00
00065            -254.00     1200.00
00066            -254.00     1600.00
00067             246.00     1800.00
00068             142.00     1600.00
00069            -254.00     1600.00
00070              56.00     2000.00
00071             -16.00     1800.00
00072            -106.00     1800.00
00073             198.00     2000.00
00074              34.00     2000.00
00075            -242.00     2000.00
00076              74.00     2400.00
00077              72.00     2400.00
00078             -80.00     2200.00
00079              96.00     2400.00
00080             -82.00     2400.00
00081            -138.00     2600.00
00082             228.00     2600.00
00083             -16.00     2600.00
00084            -240.00     2600.00
00085             142.00     2800.00
00086              80.00     2800.00
00087            -136.00     2800.00
00088              48.00     3000.00
00089             -20.00     3000.00
00090             -64.00     2800.00
00091              90.00     3200.00
00092             -42.00     3200.00
00093             -48.00     3200.00
00094              46.00     3200.00
00095             -56.00     3200.00
00096               6.00     3200.00
00097              50.00     3400.00
00098             -84.00     3400.00
00099             -10.00     3400.00
00100              38.00     3400.00
00101             -48.00     3400.00
00102              -6.00     3600.00
00103              16.00     3600.00
00104             -26.00     3600.00
00105             -18.00     3800.00
00106             -16.00     3600.00
00107              -2.00     3600.00
00108               8.00     3800.00
00109             -26.00     3800.00
00110             -16.00     3800.00
00111               0.00     4000.00
00112             -24.00     4000.00
00113             -16.00     4000.00
00114               8.00     4000.00
00115             -16.00     4000.00
00116             -26.00     4000.00
00117               2.00     4000.00
00118             -10.00     4000.00
00119             -26.00     4000.00
00120             -10.00     4200.00
00121              -8.00     4200.00
00122              -6.00     4000.00
00123             -14.00     4200.00
00124             -24.00     4200.00
00125              -8.00     4200.00
00126             -10.00     4200.00
00127             -26.00     4200.00
00128              -2.00     4400.00
00129              -8.00     4200.00
00130             -26.00     4400.00
00131             -12.00     4200.00
00132              -6.00     4400.00
00133             -14.00     4400.00
00134             -14.00     4200.00
00135             -18.00     4400.00
00136             -18.00     4400.00
00137             -14.00     4400.00
00138             -10.00     4400.00
00139              -8.00     4400.00
00140              -8.00     4400.00
00141             -22.00     4200.00
00142             -16.00     4400.00
00143              -8.00     4400.00
00144             -16.00     4400.00
00145             -14.00     4400.00
00146             -10.00     4400.00
00147             -18.00     4200.00
00148             -12.00     4200.00
00149              -6.00     4200.00
00150             -16.00     4400.00
00151             -18.00     4200.00
00152             -18.00     4400.00
00153              -8.00     4200.00
00154              -8.00     4400.00
00155             -16.00     4200.00
00156             -16.00     4400.00
00157             -14.00     4200.00
00158             -16.00     4200.00
00159             -16.00     4200.00
00160              -8.00     4000.00
00161             -10.00     4000.00
00162             -16.00     4200.00
00163             -18.00     4000.00
00164             -14.00     4000.00
00165             -16.00     4000.00
00166             -16.00     4000.00
00167             -10.00     4000.00
00168             -10.00     4000.00
00169             -14.00     4000.00
00170             -22.00     3800.00
00171             -18.00     3800.00
00172             -18.00     3800.00
00173             -14.00     3800.00
00174             -10.00     3600.00
00175             -10.00     3800.00
00176             -16.00     3600.00
00177             -22.00     3600.00
00178             -16.00     3600.00
00179             -16.00     3600.00
00180             -10.00     3600.00
00181             -10.00     3400.00
00182             -14.00     3400.00
00183             -18.00     3400.00
00184             -22.00     3400.00
00185             -10.00     3200.00
00186             -10.00     3200.00
00187             -10.00     3200.00
00188             -14.00     3200.00
00189             -14.00     3200.00
00190             -16.00     3200.00
00191             -14.00     3200.00
00192             -10.00     2800.00
00193              -8.00     2800.00
00194             -16.00     2800.00
00195             -14.00     2800.00
00196             -10.00     2800.00
00197             -10.00     2800.00
00198             -12.00     2600.00
00199              -8.00     2600.00
00200             -10.00     2600.00
00201              -8.00     2400.00
00202             -10.00     2400.00
00203             -10.00     2400.00
00204             -10.00     2400.00
00205             -10.00     2200.00
00206              -8.00     2200.00
00207              -8.00     2400.00
00208             -10.00     2000.00
00209             -10.00     2000.00
00210              -8.00     2000.00
00211              -8.00     1800.00
00212             -10.00     2000.00
00213              -8.00     1800.00
00214              -6.00     1600.00
00215              -8.00     1600.00
00216              -8.00     1600.00
00217              -6.00     1600.00
00218              -6.00     1600.00
00219             -10.00     1400.00
00220              -8.00     1400.00
00221              -4.00     1200.00
00222              -4.00     1000.00
00223              -8.00     1200.00
00224              -8.00     1000.00
00225              -8.00     1000.00
00226              -6.00      800.00
00227              -8.00     1000.00
00228              -2.00      800.00
00229              -4.00      800.00
00230              -8.00      600.00
00231              -8.00      600.00
00232              -8.00      600.00
00233              -2.00      400.00
00234              -6.00      400.00
00235              -8.00      400.00
00236              -8.00      200.00
00237               0.00        0.00
00238               0.00        0.00
00239              -2.00      200.00
00240               6.00        0.00
00241               0.00        0.00
00242              -2.00        0.00
00243             -10.00     -400.00
00244              -2.00     -200.00
00245               6.00     -400.00
00246              46.00     -400.00
00247             158.00     -400.00
00248              48.00     -800.00
00249            -254.00     -800.00
00250            -254.00     -600.00
00251             246.00     -600.00
00252             246.00     -800.00
00253            -254.00    -1000.00
00254            -254.00     -800.00
00255             246.00    -1000.00
00256             246.00    -1200.00
00257            -254.00    -1000.00
00258            -254.00    -1000.00
00259             182.00    -1200.00
00260             246.00    -1000.00
00261             -22.00    -1400.00
00262             -62.00    -1600.00
00263            -176.00    -1400.00
00264             -60.00    -1400.00
00265             246.00    -1600.00
00266              80.00    -1600.00
00267            -254.00    -1800.00
00268             -70.00    -2000.00
00269             186.00    -1600.00
00270              54.00    -1800.00
00271             -30.00    -2200.00
00272            -120.00    -2200.00
00273             -26.00    -2000.00
00274             176.00    -2200.00
00275              30.00    -2400.00
00276            -180.00    -2000.00
00277              -6.00    -2400.00
00278             120.00    -2600.00
00279               0.00    -2600.00
00280             -18.00    -2600.00
00281             -22.00    -2400.00
00282              -6.00    -2600.00
00283              38.00    -2800.00
00284              14.00    -2800.00
00285             -40.00    -2800.00
00286               8.00    -2800.00
00287              38.00    -3000.00
00288              -2.00    -2800.00
00289             -24.00    -2800.00
00290              -8.00    -3000.00
00291              32.00    -3000.00
00292              40.00    -3000.00
00293             -10.00    -3200.00
00294             -50.00    -3000.00
00295               8.00    -3200.00
00296              40.00    -3200.00
00297              -2.00    -3200.00
00298             -14.00    -3400.00
00299               8.00    -3600.00
00300               8.00    -3600.00
00301              10.00    -3600.00
00302               6.00    -3400.00
00303              -6.00    -3600.00
00304               0.00    -3600.00
00305              10.00    -3600.00
00306               8.00    -3600.00
00307               2.00    -3600.00
00308               0.00    -3600.00
00309              10.00    -3800.00
00310              14.00    -3800.00
00311              -4.00    -3800.00
00312              -6.00    -3800.00
00313              16.00    -3800.00
00314              10.00    -3800.00
00315              -2.00    -3800.00
00316               0.00    -3800.00
00317               8.00    -3800.00
00318               8.00    -4000.00
00319               8.00    -3800.00
00320               6.00    -4000.00
00321              10.00    -3800.00
00322               2.00    -3800.00
00323              -4.00    -4000.00
00324               8.00    -4000.00
00325              14.00    -3800.00
00326              14.00    -3800.00
00327              16.00    -3800.00
00328              10.00    -4000.00
00329               0.00    -3800.00
00330               2.00    -3800.00
00331               8.00    -4000.00
00332               8.00    -4000.00
00333              10.00    -4000.00
00334               8.00    -4000.00
00335               6.00    -4000.00
00336               8.00    -4000.00
00337               6.00    -4000.00
00338              14.00    -4000.00
00339              18.00    -3800.00
00340              18.00    -3800.00
00341              16.00    -4000.00
00342               6.00    -3800.00
00343             -12.00    -4000.00
00344              -4.00    -4000.00
00345               6.00    -3800.00
00346              16.00    -3800.00
00347              20.00    -3800.00
00348              16.00    -3800.00
00349              14.00    -3800.00
00350              16.00    -3800.00
00351               6.00    -3800.00
00352               6.00    -3800.00
00353               6.00    -3600.00
00354               0.00    -3800.00
00355               6.00    -3600.00
00356              14.00    -3600.00
00357              14.00    -3800.00
00358              16.00    -3600.00
00359               8.00    -3600.00
00360              10.00    -3600.00
00361              14.00    -3600.00
00362               6.00    -3400.00
00363               0.00    -3600.00
00364              -2.00    -3600.00
00365               0.00    -3400.00
00366               8.00    -3400.00
00367              10.00    -3400.00
00368               8.00    -3200.00
00369              16.00    -3200.00
00370              14.00    -3200.00
00371               8.00    -3200.00
00372               0.00    -3200.00
00373               0.00    -3200.00
00374               6.00    -3000.00
00375               8.00    -3200.00
00376               0.00    -3000.00
00377              -2.00    -2800.00
00378               0.00    -2800.00
00379              16.00    -3000.00
00380              24.00    -2800.00
00381              14.00    -2800.00
00382             -12.00    -2800.00
00383             -16.00    -2600.00
00384              -2.00    -2600.00
00385              14.00    -2600.00
00386              16.00    -2400.00
00387               6.00    -2400.00
00388               0.00    -2400.00
00389               2.00    -2400.00
00390               8.00    -2400.00
00391              14.00    -2200.00
00392               2.00    -2200.00
00393              -4.00    -2200.00
00394              -4.00    -2200.00
00395               2.00    -2000.00
00396               6.00    -2000.00
00397               6.00    -2000.00
00398               6.00    -1600.00
00399               6.00    -1800.00
00400               0.00    -1600.00
00401               0.00    -1600.00
00402               2.00    -1600.00
00403               0.00    -1600.00
00404              -2.00    -1400.00
00405               0.00    -1400.00
00406               2.00    -1000.00
00407               2.00    -1200.00
00408               6.00    -1000.00
00409               0.00    -1000.00
00410               0.00    -1000.00
00411              -2.00     -800.00
00412              -2.00     -800.00
00413               4.00     -800.00
00414               0.00     -800.00
00415               2.00     -600.00
00416               0.00     -600.00
00417              -2.00     -600.00
00418               0.00     -400.00
00419              -2.00     -400.00
00420               2.00     -400.00
00421               4.00     -400.00
00422              -2.00     -200.00
00423              -6.00        0.00
00424              -8.00        0.00
00425              -2.00        0.00
00426               2.00        0.00
00427               0.00      200.00
00428               2.00      200.00
00429               2.00      200.00
00430              -2.00      400.00
00431               0.00      400.00
00432               6.00      400.00
00433               2.00      400.00
00434              -4.00      600.00
00435              -8.00      400.00
00436               0.00      800.00
00437              32.00      800.00
00438             176.00     1000.00
00439              94.00     1000.00
00440            -254.00      800.00
00441            -254.00      800.00
00442             246.00     1200.00
00443             246.00     1400.00
00444            -254.00     1000.00
00445            -254.00     1000.00
00446             246.00     1600.00
00447             246.00     1600.00
00448            -254.00     1200.00
00449            -254.00     1600.00
00450             246.00     1800.00
00451             200.00     1400.00
00452            -254.00     1600.00
00453              26.00     2000.00
00454               8.00     1800.00
00455            -120.00     1600.00
00456             182.00     2000.00
00457              74.00     2000.00
00458            -254.00     2000.00
00459              50.00     2200.00
00460              88.00     2400.00
00461             -86.00     2200.00
00462              86.00     2400.00
00463             -64.00     2400.00
00464            -156.00     2400.00
00465             216.00     2800.00
00466              24.00     2400.00
00467            -254.00     2600.00
00468             112.00     2800.00
00469             104.00     2800.00
00470            -138.00     2800.00
00471              40.00     3000.00
00472              -6.00     2800.00
00473             -74.00     2800.00
00474              82.00     3200.00
00475             -30.00     3200.00
00476             -58.00     3200.00
00477              48.00     3200.00
00478             -50.00     3200.00
00479              -8.00     3200.00
00480              58.00     3400.00
00481             -74.00     3200.00
00482             -16.00     3400.00
00483              38.00     3600.00
00484             -46.00     3600.00
00485             -10.00     3600.00
00486              22.00     3800.00
00487             -24.00     3600.00
00488             -22.00     3600.00
00489             -18.00     3800.00
00490               0.00     3800.00
00491              10.00     4000.00
00492             -30.00     3800.00
00493             -24.00     3800.00
00494               0.00     4000.00
00495             -24.00     4000.00
00496             -16.00     3800.00
00497              12.00     4200.00
00498             -12.00     4000.00
00499             -30.00     4000.00
00500              -2.00     4000.00
00501              -8.00     4000.00
00502             -24.00     4000.00
00503             -14.00     4000.00
00504              -8.00     4000.00
00505              -6.00     4000.00
00506             -14.00     4200.00
00507             -24.00     4200.00
00508              -6.00     4200.00
00509             -10.00     4000.00
00510             -26.00     4200.00
00511              -8.00     4200.00
00512              -2.00     4400.00
00513             -18.00     4200.00
00514             -14.00     4200.00
00515             -14.00     4200.00
00516             -22.00     4400.00
00517             -10.00     4400.00
00518              -6.00     4400.00
00519              -8.00     4400.00
00520             -16.00     4400.00
00521             -26.00     4400.00
00522             -16.00     4200.00
00523              -8.00     4400.00
00524             -14.00     4400.00
00525             -10.00     4200.00
00526             -10.00     4400.00
00527             -20.00     4200.00
00528             -16.00     4400.00
00529             -14.00     4200.00
00530             -16.00     4200.00
00531             -14.00     4400.00
00532              -6.00     4400.00
00533             -10.00     4400.00
00534             -22.00     4400.00
00535             -20.00     4200.00
00536             -14.00     4200.00
00537             -10.00     4200.00
00538             -10.00     4200.00
00539             -14.00     4200.00
00540             -10.00     4200.00
00541             -20.00     4200.00
00542             -22.00     4200.00
00543             -10.00     4000.00
00544              -6.00     4000.00
00545             -16.00     4200.00
00546             -18.00     4000.00
00547             -10.00     4200.00
00548             -16.00     4000.00
00549             -16.00     4000.00
00550             -10.00     4000.00
00551             -10.00     4000.00
00552             -16.00     4000.00
00553             -18.00     4000.00
00554             -14.00     3800.00
00555              -8.00     3800.00
00556             -12.00     3800.00
00557             -18.00     3800.00
00558             -16.00     3600.00
00559             -12.00     3800.00
00560             -14.00     3600.00
00561             -16.00     3600.00
00562             -22.00     3600.00
00563             -14.00     3600.00
00564              -2.00     3400.00
00565             -14.00     3400.00
00566             -22.00     3400.00
00567             -14.00     3400.00
00568             -10.00     3200.00
00569             -10.00     3400.00
00570             -16.00     3200.00
00571             -16.00     3200.00
00572             -10.00     3200.00
00573             -14.00     3000.00
00574             -16.00     3200.00
00575             -16.00     2800.00
00576             -16.00     3200.00
00577             -16.00     2800.00
00578              -6.00     2800.00
00579              -6.00     2800.00
00580             -16.00     2800.00
00581             -24.00     2600.00
00582             -16.00     2600.00
00583             -10.00     2600.00
00584              -2.00     2600.00
00585              -8.00     2400.00
