Unit:(mV)
                     CH1         CH2
Frequency              ? 260.712 kHz
00001              -4.00    -3200.00
00002               4.00    -3000.00
00003               0.00    -2800.00
00004               2.00    -2400.00
00005               0.00    -2400.00
00006              -2.00    -2200.00
00007              -6.00    -2000.00
00008              -6.00    -1800.00
00009              -2.00    -1400.00
00010               2.00    -1400.00
00011               2.00    -1000.00
00012              -2.00     -800.00
00013              -2.00     -800.00
00014              -2.00     -600.00
00015              -2.00     -400.00
00016              -2.00     -200.00
00017              -2.00      200.00
00018               0.00      200.00
00019               0.00      400.00
00020               6.00      400.00
00021              32.00      800.00
00022              22.00      800.00
00023              -8.00     1000.00
00024             -16.00     1200.00
00025               0.00     1400.00
00026              22.00     1600.00
00027             144.00     2000.00
00028             246.00     2200.00
00029             -72.00     2400.00
00030            -254.00     2600.00
00031            -254.00     2600.00
00032              40.00     2800.00
00033             246.00     3200.00
00034             246.00     3400.00
00035            -254.00     3200.00
00036            -254.00     3400.00
00037             246.00     3600.00
00038             -16.00     3800.00
00039              78.00     4000.00
00040             -74.00     4400.00
00041            -192.00     4200.00
00042             246.00     4800.00
00043             -56.00     4800.00
00044            -170.00     5000.00
00045               8.00     5400.00
00046              40.00     5600.00
00047              94.00     5400.00
00048             -46.00     5600.00
00049             -40.00     6000.00
00050            -104.00     5800.00
00051              98.00     6400.00
00052              80.00     6400.00
00053            -134.00     6400.00
00054              28.00     6800.00
00055             -26.00     6800.00
00056              26.00     7200.00
00057              10.00     7200.00
00058             -68.00     7400.00
00059              -6.00     7600.00
00060              42.00     7600.00
00061              -2.00     7800.00
00062             -56.00     7800.00
00063              14.00     8200.00
00064             -16.00     8200.00
00065              14.00     8400.00
00066               0.00     8400.00
00067             -42.00     8400.00
00068             -16.00     9000.00
00069              22.00     9000.00
00070              -2.00     9200.00
00071             -14.00     9200.00
00072              -4.00     9400.00
00073             -40.00     9600.00
00074               8.00     9600.00
00075               0.00     9800.00
00076              -8.00     9800.00
00077               2.00     9800.00
00078             -22.00    10000.00
00079             -32.00    10000.00
00080               0.00    10000.00
00081              14.00    10400.00
00082              -8.00    10400.00
00083              -6.00    10600.00
00084             -30.00    10600.00
00085             -20.00    10800.00
00086               0.00    10800.00
00087              -2.00    10800.00
00088              -6.00    11200.00
00089               0.00    11200.00
00090             -14.00    11200.00
00091             -12.00    11400.00
00092              -8.00    11400.00
00093             -18.00    11400.00
00094              -6.00    11400.00
00095               2.00    11400.00
00096              -8.00    11800.00
00097             -12.00    11600.00
00098             -10.00    11800.00
00099             -14.00    11800.00
00100             -10.00    11600.00
00101              -2.00    12000.00
00102             -10.00    12000.00
00103              -2.00    12000.00
00104             -12.00    12000.00
00105             -18.00    12000.00
00106             -10.00    12200.00
00107              -8.00    12000.00
00108              -8.00    12000.00
00109              -6.00    12000.00
00110             -10.00    12000.00
00111             -18.00    12000.00
00112             -16.00    12000.00
00113             -14.00    12200.00
00114              -8.00    12000.00
00115              -2.00    12000.00
00116              -8.00    12000.00
00117             -16.00    12000.00
00118             -16.00    12000.00
00119             -20.00    12000.00
00120             -10.00    12000.00
00121              -2.00    12000.00
00122              -6.00    12000.00
00123              -8.00    12000.00
00124             -14.00    11800.00
