Unit:(mV)
                     CH1         CH2
Frequency              ? 261.187 kHz
00001              -8.00    -6000.00
00002              -6.00    -6000.00
00003             -10.00    -5800.00
00004             -14.00    -5600.00
00005             -14.00    -5400.00
00006             -10.00    -5200.00
00007              -8.00    -5000.00
00008              -6.00    -5000.00
00009              -6.00    -4600.00
00010             -10.00    -4400.00
00011             -14.00    -4200.00
00012             -14.00    -4000.00
00013             -10.00    -3800.00
00014              -6.00    -3600.00
00015              -2.00    -3600.00
00016              -4.00    -3400.00
00017              -6.00    -3000.00
00018             -10.00    -3000.00
00019              -8.00    -2800.00
00020              -8.00    -2600.00
00021              -2.00    -2600.00
00022              -2.00    -2200.00
00023              -6.00    -2000.00
00024              -8.00    -1800.00
00025              -8.00    -1800.00
00026              -6.00    -1400.00
00027              -4.00    -1400.00
00028              -2.00    -1000.00
00029               2.00    -1000.00
00030               0.00     -800.00
00031              -6.00     -600.00
00032              -8.00     -400.00
00033              -2.00     -200.00
00034               0.00        0.00
00035               2.00      200.00
00036               6.00      600.00
00037              22.00      600.00
00038              16.00      600.00
00039              -8.00     1000.00
00040              -6.00     1000.00
00041               8.00     1400.00
00042              10.00     1400.00
00043              30.00     1400.00
00044             174.00     2200.00
00045             194.00     2400.00
00046            -248.00     2400.00
00047            -254.00     2600.00
00048              -6.00     2800.00
00049              22.00     2800.00
00050             158.00     3200.00
00051             244.00     3400.00
00052            -254.00     3000.00
00053              76.00     4000.00
00054             246.00     3800.00
00055            -240.00     3600.00
00056              54.00     4600.00
00057             -42.00     4200.00
00058              16.00     4200.00
00059             192.00     5200.00
00060            -234.00     4400.00
00061              48.00     5200.00
00062              74.00     5400.00
00063             -74.00     5000.00
00064              62.00     6000.00
00065             -60.00     6000.00
00066              54.00     5800.00
00067              16.00     6400.00
00068             -18.00     6200.00
00069             -10.00     6400.00
00070               0.00     6800.00
00071              16.00     6800.00
00072             -16.00     6800.00
00073              56.00     7400.00
00074             -58.00     7200.00
00075              16.00     7400.00
00076              38.00     7800.00
00077             -30.00     7600.00
00078              30.00     8000.00
00079             -16.00     8200.00
00080              10.00     8200.00
00081              22.00     8600.00
00082              -8.00     8600.00
00083             -12.00     8800.00
00084              30.00     9000.00
00085             -12.00     9000.00
00086               6.00     9000.00
00087              22.00     9200.00
00088             -10.00     9400.00
00089              16.00     9600.00
00090               6.00     9600.00
00091               0.00     9800.00
00092               6.00     9800.00
00093              14.00    10000.00
00094              -6.00    10000.00
00095              10.00    10200.00
00096               2.00    10200.00
00097               8.00    10200.00
00098              22.00    10400.00
00099               0.00    10600.00
00100               2.00    10600.00
00101               8.00    10800.00
00102               0.00    10800.00
00103               8.00    11000.00
00104              10.00    11000.00
00105               2.00    11000.00
00106              10.00    11000.00
00107               6.00    11200.00
00108               2.00    11400.00
00109               8.00    11400.00
00110               6.00    11600.00
00111               8.00    11400.00
00112              14.00    11600.00
00113               2.00    11600.00
00114               0.00    11800.00
00115              12.00    11600.00
00116               6.00    11800.00
00117               6.00    11800.00
00118               8.00    11800.00
00119               8.00    11800.00
00120               8.00    11800.00
00121               6.00    11800.00
00122               6.00    12000.00
00123               8.00    12000.00
00124               8.00    11800.00
00125               2.00    11800.00
00126               8.00    12000.00
00127               6.00    12200.00
00128               6.00    12200.00
00129               8.00    12000.00
00130               6.00    12000.00
00131              10.00    11800.00
00132               8.00    12200.00
00133               6.00    11800.00
00134               4.00    12000.00
00135               6.00    12000.00
00136               6.00    12000.00
00137               8.00    11800.00
00138               8.00    12000.00
00139               8.00    11800.00
00140               8.00    11800.00
00141               2.00    11800.00
00142               0.00    11800.00
00143               6.00    11800.00
00144               8.00    11600.00
00145               8.00    11600.00
00146               8.00    11600.00
00147               6.00    11600.00
00148               4.00    11600.00
00149               6.00    11400.00
00150               6.00    11400.00
00151               6.00    11400.00
00152               8.00    11400.00
00153               6.00    11400.00
00154               6.00    11000.00
00155               6.00    11000.00
00156               6.00    11000.00
00157               4.00    10800.00
00158               8.00    10800.00
00159               8.00    10800.00
00160               6.00    10600.00
00161               6.00    10600.00
00162               2.00    10400.00
00163               2.00    10200.00
00164               6.00    10200.00
00165               8.00    10000.00
00166               6.00    10000.00
00167               2.00     9800.00
00168               2.00     9800.00
00169               2.00     9800.00
00170               6.00     9400.00
00171               8.00     9400.00
00172               8.00     9200.00
00173               4.00     9200.00
00174               2.00     9200.00
00175               0.00     9000.00
00176               6.00     8800.00
00177               6.00     8600.00
00178               4.00     8400.00
00179               6.00     8400.00
00180               0.00     8200.00
00181              -2.00     8200.00
00182               2.00     7800.00
00183               4.00     7800.00
00184               4.00     7600.00
00185               2.00     7600.00
00186               2.00     7200.00
00187               0.00     7000.00
00188               2.00     7000.00
00189               0.00     6800.00
00190               2.00     6800.00
00191               0.00     6600.00
00192               2.00     6400.00
00193               0.00     6200.00
00194               0.00     6000.00
00195               0.00     5800.00
00196               2.00     5600.00
00197               2.00     5400.00
00198               2.00     5200.00
00199               0.00     5200.00
00200              -6.00     5000.00
00201              -2.00     4600.00
00202              -2.00     4600.00
00203               0.00     4400.00
00204              -2.00     4200.00
00205               0.00     4200.00
00206              -2.00     3800.00
00207              -2.00     3600.00
00208               0.00     3600.00
00209              -4.00     3400.00
00210              -2.00     3200.00
00211              -2.00     2800.00
00212               0.00     2800.00
00213               0.00     2600.00
00214              -2.00     2400.00
00215              -2.00     2200.00
00216              -2.00     2000.00
00217              -2.00     2000.00
00218               0.00     1400.00
00219               0.00     1400.00
00220              -2.00     1200.00
00221              -6.00     1000.00
00222              -6.00      800.00
00223              -4.00      600.00
00224               0.00      400.00
00225               0.00      400.00
