Tiempo (s)	 Campo (A/m)	 Magnetizacion (A/m)
0.000000e+00	-5.190955e+04	-5.458651e+02
1.000000e-08	-5.189453e+04	-5.455994e+02
2.000000e-08	-5.186645e+04	-5.451077e+02
3.000000e-08	-5.182493e+04	-5.447590e+02
4.000000e-08	-5.177023e+04	-5.448196e+02
5.000000e-08	-5.170340e+04	-5.450404e+02
6.000000e-08	-5.162496e+04	-5.447580e+02
7.000000e-08	-5.153335e+04	-5.435646e+02
8.000000e-08	-5.142512e+04	-5.419418e+02
9.000000e-08	-5.129743e+04	-5.411244e+02
1.000000e-07	-5.115079e+04	-5.421158e+02
1.100000e-07	-5.098920e+04	-5.446526e+02
1.200000e-07	-5.081717e+04	-5.471498e+02
1.300000e-07	-5.063633e+04	-5.478800e+02
1.400000e-07	-5.044482e+04	-5.464841e+02
1.500000e-07	-5.023967e+04	-5.444402e+02
1.600000e-07	-5.001968e+04	-5.439050e+02
1.700000e-07	-4.978597e+04	-5.457869e+02
1.800000e-07	-4.954029e+04	-5.487386e+02
1.900000e-07	-4.928322e+04	-5.500916e+02
2.000000e-07	-4.901402e+04	-5.480730e+02
2.100000e-07	-4.873167e+04	-5.434122e+02
2.200000e-07	-4.843568e+04	-5.388648e+02
2.300000e-07	-4.812592e+04	-5.369775e+02
2.400000e-07	-4.780222e+04	-5.380076e+02
2.500000e-07	-4.746459e+04	-5.398126e+02
2.600000e-07	-4.711360e+04	-5.397697e+02
2.700000e-07	-4.675012e+04	-5.369829e+02
2.800000e-07	-4.637439e+04	-5.328460e+02
2.900000e-07	-4.598547e+04	-5.295983e+02
3.000000e-07	-4.558205e+04	-5.283216e+02
3.100000e-07	-4.516383e+04	-5.281969e+02
3.200000e-07	-4.473226e+04	-5.275190e+02
3.300000e-07	-4.428963e+04	-5.253318e+02
3.400000e-07	-4.383742e+04	-5.221318e+02
3.500000e-07	-4.337521e+04	-5.191571e+02
3.600000e-07	-4.290126e+04	-5.171336e+02
3.700000e-07	-4.241406e+04	-5.157067e+02
3.800000e-07	-4.191355e+04	-5.139491e+02
3.900000e-07	-4.140121e+04	-5.112891e+02
4.000000e-07	-4.087896e+04	-5.079492e+02
4.100000e-07	-4.034761e+04	-5.046065e+02
4.200000e-07	-3.980621e+04	-5.017356e+02
4.300000e-07	-3.925265e+04	-4.992659e+02
4.400000e-07	-3.868526e+04	-4.967632e+02
4.500000e-07	-3.810409e+04	-4.938551e+02
4.600000e-07	-3.751084e+04	-4.904946e+02
4.700000e-07	-3.690757e+04	-4.868979e+02
4.800000e-07	-3.629546e+04	-4.832922e+02
4.900000e-07	-3.567459e+04	-4.797185e+02
5.000000e-07	-3.504489e+04	-4.760396e+02
5.100000e-07	-3.440681e+04	-4.721128e+02
5.200000e-07	-3.376095e+04	-4.679530e+02
5.300000e-07	-3.310736e+04	-4.637258e+02
5.400000e-07	-3.244523e+04	-4.595737e+02
5.500000e-07	-3.177378e+04	-4.554500e+02
5.600000e-07	-3.109302e+04	-4.511436e+02
5.700000e-07	-3.040376e+04	-4.464826e+02
5.800000e-07	-2.970674e+04	-4.414986e+02
5.900000e-07	-2.900197e+04	-4.363628e+02
6.000000e-07	-2.828911e+04	-4.311660e+02
6.100000e-07	-2.756818e+04	-4.258068e+02
6.200000e-07	-2.683972e+04	-4.201364e+02
6.300000e-07	-2.610426e+04	-4.141878e+02
6.400000e-07	-2.536181e+04	-4.081909e+02
6.500000e-07	-2.461226e+04	-4.023145e+02
6.600000e-07	-2.385604e+04	-3.964231e+02
6.700000e-07	-2.309416e+04	-3.901596e+02
6.800000e-07	-2.232727e+04	-3.832996e+02
6.900000e-07	-2.155484e+04	-3.759930e+02
7.000000e-07	-2.077553e+04	-3.686116e+02
7.100000e-07	-1.998865e+04	-3.613654e+02
7.200000e-07	-1.919504e+04	-3.541077e+02
7.300000e-07	-1.839649e+04	-3.465285e+02
7.400000e-07	-1.759418e+04	-3.384891e+02
7.500000e-07	-1.678778e+04	-3.301197e+02
7.600000e-07	-1.597631e+04	-3.216065e+02
7.700000e-07	-1.515961e+04	-3.129597e+02
7.800000e-07	-1.433897e+04	-3.040349e+02
7.900000e-07	-1.351607e+04	-2.947395e+02
8.000000e-07	-1.269139e+04	-2.851394e+02
8.100000e-07	-1.186365e+04	-2.753423e+02
8.200000e-07	-1.103094e+04	-2.653379e+02
8.300000e-07	-1.019227e+04	-2.550206e+02
8.400000e-07	-9.348330e+03	-2.443569e+02
8.500000e-07	-8.500784e+03	-2.334544e+02
8.600000e-07	-7.651173e+03	-2.224188e+02
8.700000e-07	-6.800347e+03	-2.111761e+02
