Unit:(mV)
                     CH1         CH2
Frequency              ? 261.586 kHz
00001              -8.00    -4400.00
00002              -8.00    -4200.00
00003              -4.00    -4200.00
00004              -4.00    -4000.00
00005              -4.00    -3800.00
00006              -4.00    -3600.00
00007              -8.00    -3400.00
00008              -8.00    -3200.00
00009              -8.00    -3200.00
00010              -6.00    -2800.00
00011              -4.00    -2800.00
00012              -4.00    -2600.00
00013              -4.00    -2400.00
00014              -8.00    -2000.00
00015              -8.00    -2000.00
00016              -4.00    -1800.00
00017              -4.00    -1600.00
00018              -2.00    -1400.00
00019              -4.00    -1200.00
00020              -4.00    -1000.00
00021              -8.00     -800.00
00022              -8.00     -600.00
00023              -8.00     -600.00
00024              -2.00     -400.00
00025              -4.00        0.00
00026               0.00        0.00
00027               6.00      200.00
00028              22.00      400.00
00029               0.00      600.00
00030             -26.00     1000.00
00031             -14.00      800.00
00032              12.00     1200.00
00033              16.00     1200.00
00034              52.00     1400.00
00035             252.00     2000.00
00036             116.00     2200.00
00037            -248.00     2200.00
00038            -248.00     2400.00
00039              98.00     2400.00
00040             252.00     2400.00
00041             252.00     3000.00
00042             -98.00     2800.00
00043            -248.00     3000.00
00044             252.00     3600.00
00045             252.00     3600.00
00046            -248.00     3800.00
00047            -248.00     3600.00
00048             252.00     4000.00
00049             -68.00     4400.00
00050             252.00     4000.00
00051             -64.00     4800.00
00052            -248.00     5000.00
00053             252.00     4600.00
00054             250.00     5400.00
00055            -172.00     5400.00
00056             -52.00     5200.00
00057            -136.00     6200.00
00058              92.00     5600.00
00059             198.00     5600.00
00060             -66.00     6800.00
00061            -202.00     6000.00
00062             -50.00     6400.00
00063             252.00     6800.00
00064             -26.00     6400.00
00065            -166.00     7000.00
00066              80.00     7000.00
00067             -66.00     7400.00
00068              54.00     7400.00
00069              70.00     7400.00
00070            -132.00     8000.00
00071              32.00     7600.00
00072              36.00     8200.00
00073             -34.00     8000.00
00074             -14.00     8000.00
00075              14.00     8600.00
00076              20.00     8400.00
00077             -40.00     8600.00
00078              24.00     8800.00
00079             -20.00     8800.00
00080             -34.00     9200.00
00081              70.00     8800.00
00082             -36.00     9400.00
00083             -36.00     9200.00
00084              38.00     9400.00
00085              -6.00     9800.00
00086             -20.00     9400.00
00087              -4.00     9800.00
00088              12.00    10000.00
00089              -8.00    10000.00
00090              -2.00    10200.00
00091              -4.00    10200.00
00092             -24.00    10000.00
00093              14.00    10400.00
00094               6.00    10200.00
00095             -26.00    10200.00
00096               0.00    10400.00
00097               4.00    10600.00
00098              -4.00    10600.00
00099              -2.00    10800.00
00100             -12.00    10800.00
00101             -18.00    10800.00
00102              12.00    10800.00
00103              12.00    11000.00
00104             -20.00    11000.00
00105             -16.00    11000.00
00106               6.00    11200.00
00107              -4.00    11000.00
00108               0.00    11200.00
00109               0.00    11200.00
00110             -18.00    11400.00
00111              -4.00    11200.00
00112               6.00    11400.00
00113             -10.00    11600.00
00114              -8.00    11200.00
00115              -2.00    11400.00
00116              -4.00    11400.00
00117               0.00    11600.00
00118              -2.00    11600.00
00119             -12.00    11600.00
00120              -8.00    11600.00
00121               6.00    11600.00
00122              -4.00    11400.00
00123              -4.00    11400.00
00124               0.00    11400.00
00125              -4.00    11600.00
00126              -4.00    11400.00
00127               2.00    11400.00
00128              -2.00    11200.00
00129              -4.00    11400.00
00130               4.00    11200.00
00131               0.00    11200.00
00132              -4.00    11200.00
00133              -4.00    11200.00
00134              -4.00    11200.00
00135              -2.00    11200.00
00136               4.00    11000.00
00137              -4.00    10800.00
00138              -6.00    11000.00
00139              -4.00    10800.00
00140               0.00    11000.00
00141               0.00    10800.00
00142               4.00    10600.00
00143              -2.00    10400.00
00144              -4.00    10400.00
00145              -2.00    10400.00
00146              -2.00    10400.00
00147              -4.00    10400.00
00148               0.00    10200.00
00149               4.00    10400.00
00150              -2.00    10000.00
00151              -4.00    10000.00
00152              -2.00    10000.00
00153              -4.00     9800.00
00154              -4.00     9600.00
00155               0.00     9600.00
00156               0.00     9400.00
00157              -4.00     9400.00
00158              -4.00     9200.00
00159              -2.00     9200.00
00160              -2.00     9000.00
00161               0.00     8800.00
00162               0.00     8800.00
00163               0.00     8600.00
00164              -2.00     8600.00
00165              -4.00     8400.00
00166              -4.00     8400.00
00167              -2.00     8200.00
00168               0.00     8000.00
00169               0.00     7800.00
00170              -2.00     7800.00
00171              -2.00     7800.00
00172              -4.00     7400.00
00173               0.00     7400.00
00174               0.00     7200.00
00175               0.00     7000.00
00176              -4.00     7000.00
00177               0.00     6800.00
00178               0.00     6400.00
00179              -4.00     6400.00
00180              -2.00     6200.00
00181               0.00     6000.00
00182               4.00     6000.00
00183               0.00     5800.00
00184               0.00     5600.00
00185               0.00     5600.00
00186               0.00     5400.00
00187               2.00     5200.00
00188               2.00     5200.00
00189               0.00     4800.00
00190              -2.00     4800.00
00191               0.00     4600.00
00192               0.00     4200.00
00193              -2.00     4200.00
00194              -2.00     3800.00
00195               4.00     3800.00
00196               4.00     3600.00
00197               0.00     3600.00
00198               0.00     3200.00
00199              -2.00     3200.00
00200               2.00     3000.00
00201               4.00     2800.00
00202               6.00     2400.00
00203               4.00     2200.00
00204               0.00     2000.00
00205               0.00     2000.00
00206               0.00     1800.00
00207               2.00     1400.00
00208               4.00     1400.00
00209               4.00     1200.00
00210               4.00     1200.00
00211               0.00      800.00
00212              -2.00      600.00
00213               0.00      600.00
00214               4.00      200.00
00215               4.00        0.00
00216               6.00     -200.00
00217               6.00     -400.00
00218              14.00     -400.00
00219              28.00     -600.00
00220              12.00     -800.00
00221             -18.00    -1000.00
00222             -10.00    -1200.00
00223              20.00    -1200.00
00224              20.00    -1600.00
00225              20.00    -1600.00
00226             122.00    -1800.00
00227             252.00    -2200.00
00228             -64.00    -2600.00
00229            -248.00    -2800.00
00230            -248.00    -2800.00
00231             236.00    -3000.00
00232             182.00    -2800.00
00233             252.00    -3000.00
00234              16.00    -3800.00
00235            -248.00    -3200.00
00236             130.00    -3600.00
00237             252.00    -4400.00
00238            -234.00    -3600.00
00239            -248.00    -4400.00
00240              66.00    -4800.00
00241             142.00    -4200.00
00242             220.00    -5000.00
00243            -152.00    -5000.00
00244            -248.00    -5000.00
00245             148.00    -5600.00
00246             226.00    -5200.00
00247               2.00    -5600.00
00248            -176.00    -5800.00
00249            -122.00    -6000.00
00250             178.00    -6200.00
00251             160.00    -6200.00
00252            -100.00    -6400.00
00253            -182.00    -6600.00
00254              38.00    -6600.00
00255             196.00    -7200.00
00256             -10.00    -7000.00
00257            -122.00    -7200.00
00258             -40.00    -7400.00
00259              56.00    -7400.00
00260             108.00    -7600.00
00261             -42.00    -7600.00
00262             -92.00    -8000.00
00263              38.00    -8000.00
00264              60.00    -8200.00
00265              -2.00    -8400.00
00266             -42.00    -8200.00
00267              -4.00    -8600.00
00268              44.00    -8800.00
00269              22.00    -8800.00
00270             -28.00    -9000.00
00271             -44.00    -9200.00
00272              28.00    -9200.00
00273              48.00    -9400.00
00274             -10.00    -9600.00
00275             -24.00    -9600.00
00276              -4.00    -9600.00
00277              14.00    -9800.00
00278              14.00    -9800.00
00279              -8.00   -10000.00
00280             -10.00   -10000.00
00281              14.00   -10200.00
00282              12.00   -10400.00
00283             -12.00   -10400.00
00284             -12.00   -10400.00
00285               6.00   -10600.00
00286               6.00   -10600.00
00287               6.00   -10800.00
00288              -4.00   -10800.00
00289             -10.00   -10800.00
00290               2.00   -10800.00
00291               6.00   -10800.00
00292             -10.00   -11200.00
00293              -8.00   -11000.00
00294               8.00   -10800.00
00295              10.00   -11200.00
00296              -4.00   -11200.00
00297             -10.00   -11200.00
00298             -10.00   -11400.00
00299              -2.00   -11400.00
00300               8.00   -11400.00
00301               4.00   -11400.00
00302              -4.00   -11400.00
00303              -8.00   -11600.00
00304              -8.00   -11600.00
00305              -4.00   -11600.00
00306               6.00   -11400.00
00307               6.00   -11600.00
00308              -4.00   -11600.00
00309              -4.00   -11600.00
00310              -8.00   -11600.00
00311              -4.00   -11600.00
00312               6.00   -11600.00
00313               6.00   -11400.00
00314              -2.00   -11600.00
00315              -4.00   -11400.00
00316              -2.00   -11600.00
00317              -8.00   -11600.00
00318              -4.00   -11400.00
00319               2.00   -11600.00
00320              -2.00   -11600.00
00321               0.00   -11400.00
00322              -2.00   -11400.00
00323              -6.00   -11400.00
00324              -4.00   -11400.00
00325              -2.00   -11200.00
00326               0.00   -11200.00
00327               0.00   -11200.00
00328               0.00   -11200.00
00329              -4.00   -11000.00
00330              -4.00   -11000.00
00331              -4.00   -10800.00
00332              -4.00   -10800.00
00333               2.00   -10800.00
00334               0.00   -10800.00
00335               0.00   -10800.00
00336              -4.00   -10600.00
00337              -6.00   -10600.00
00338              -4.00   -10400.00
00339              -2.00   -10400.00
00340               4.00   -10400.00
00341              -2.00   -10200.00
00342              -4.00   -10400.00
00343              -4.00   -10000.00
00344              -6.00   -10000.00
00345              -4.00    -9800.00
00346              -2.00    -9800.00
00347              -2.00    -9600.00
00348              -4.00    -9600.00
00349              -4.00    -9400.00
00350             -10.00    -9400.00
00351              -6.00    -9200.00
00352              -2.00    -9000.00
00353              -4.00    -9200.00
00354              -4.00    -9000.00
00355              -4.00    -8800.00
00356              -8.00    -8800.00
00357             -10.00    -8600.00
00358              -8.00    -8400.00
00359              -4.00    -8200.00
