Unit:(mV)
                     CH1         CH2
Frequency              ? 299.818 kHz
00001             -25.00    -7200.00
00002             -25.00    -8000.00
00003              25.00    -8800.00
00004               0.00    -8800.00
00005             -25.00    -8800.00
00006              25.00    -9600.00
00007              25.00   -10400.00
00008             -25.00   -10400.00
00009              25.00   -11200.00
00010              25.00   -11200.00
00011             -25.00   -12000.00
00012              25.00   -13600.00
00013             -15.00   -13600.00
00014               7.60   -14400.00
00015               6.80   -14400.00
00016             -25.00   -15200.00
00017              25.00   -16000.00
00018             -13.00   -16000.00
00019             -21.40   -16800.00
00020              25.00   -16800.00
00021              -1.80   -17600.00
00022             -25.00   -18400.00
00023              19.40   -18400.00
00024               7.60   -20000.00
00025             -25.00   -20000.00
00026              25.00   -20800.00
00027              -2.00   -20800.00
00028             -13.80   -22400.00
00029              17.80   -21600.00
00030             -10.80   -23200.00
00031              -4.40   -23200.00
00032              10.60   -23200.00
00033              -4.60   -24000.00
00034              -3.40   -24000.00
00035              13.40   -24800.00
00036             -11.00   -24800.00
00037               1.00   -25600.00
00038               8.40   -25600.00
00039             -11.00   -26400.00
00040               5.80   -26400.00
00041               3.40   -26400.00
00042              -4.60   -28000.00
00043               2.60   -28800.00
00044               2.60   -28000.00
00045              -3.60   -28800.00
00046               3.40   -28800.00
00047               2.00   -29600.00
00048              -3.60   -29600.00
00049               3.60   -29600.00
00050               0.40   -29600.00
00051              -1.80   -29600.00
00052               4.40   -30400.00
00053               1.00   -30400.00
00054              -1.00   -31200.00
00055               4.20   -31200.00
00056              -0.40   -32000.00
00057               0.40   -32000.00
00058               3.00   -32000.00
00059               0.40   -32000.00
00060               3.40   -32800.00
00061               2.20   -32000.00
00062               1.20   -32000.00
00063               3.40   -32800.00
00064               2.20   -32800.00
00065               2.80   -32800.00
00066               4.20   -33600.00
00067               4.20   -32800.00
00068               3.80   -32800.00
00069               5.80   -32800.00
00070               5.80   -33600.00
00071               5.00   -32800.00
00072               8.20   -32800.00
00073               8.00   -32800.00
00074               8.20   -33600.00
00075              11.40   -32800.00
00076              10.20   -33600.00
00077              12.20   -32800.00
00078              13.80   -33600.00
00079              13.60   -32800.00
00080              15.00   -32800.00
00081              15.20   -32800.00
00082              17.40   -32800.00
00083              20.80   -32800.00
00084              22.80   -32800.00
00085              13.20   -32000.00
00086               6.40   -32000.00
00087              12.20   -32000.00
00088              10.60   -32000.00
00089               5.80   -32000.00
