Unit:(mV)
                     CH1         CH2
Frequency              ? 300.003 kHz
00001             -20.60    -7200.00
00002             -25.00    -7200.00
00003              16.60    -7200.00
00004              12.60    -8800.00
00005             -25.00    -8800.00
00006              13.80    -9600.00
00007              25.00    -9600.00
00008             -25.00   -10400.00
00009              15.80   -11200.00
00010              25.00   -11200.00
00011             -25.00   -12000.00
00012              25.00   -12800.00
00013              -1.20   -12800.00
00014              -3.60   -13600.00
00015              20.40   -13600.00
00016             -25.00   -14400.00
00017              25.00   -15200.00
00018               8.60   -15200.00
00019             -25.00   -16000.00
00020              25.00   -16800.00
00021              13.00   -16800.00
00022             -25.00   -17600.00
00023              10.20   -17600.00
00024              23.00   -19200.00
00025             -25.00   -19200.00
00026              14.80   -20000.00
00027              15.00   -20800.00
00028             -21.00   -20800.00
00029              11.60   -21600.00
00030              -2.80   -22400.00
00031              -7.80   -22400.00
00032               6.40   -22400.00
00033              -2.00   -23200.00
00034              -3.60   -24000.00
00035               9.80   -24000.00
00036              -8.80   -24800.00
00037              -3.40   -24800.00
00038              10.60   -25600.00
00039             -11.80   -25600.00
00040               2.00   -26400.00
00041               6.20   -26400.00
00042              -7.00   -27200.00
00043              -0.20   -27200.00
00044               3.20   -27200.00
00045              -4.40   -27200.00
00046              -0.40   -28800.00
00047               2.60   -28800.00
00048              -3.80   -28800.00
00049               0.40   -28800.00
00050               0.40   -29600.00
00051              -3.00   -29600.00
00052               1.80   -29600.00
00053              -0.20   -30400.00
00054              -3.00   -29600.00
00055               2.60   -30400.00
00056              -1.60   -31200.00
00057              -3.00   -31200.00
00058               1.40   -32000.00
00059              -1.60   -32000.00
00060              -1.00   -31200.00
00061               0.40   -32000.00
00062              -1.00   -32000.00
00063              -1.80   -32000.00
00064              -0.60   -32000.00
00065              -0.40   -32800.00
00066              -1.20   -32000.00
00067              -0.40   -32800.00
00068              -0.60   -32000.00
00069              -0.60   -32000.00
00070              -0.60   -32800.00
00071              -1.80   -32000.00
00072               0.40   -32000.00
00073              -0.60   -32000.00
00074              -1.40   -32800.00
00075               1.00   -32000.00
00076              -1.20   -32800.00
00077              -1.20   -32000.00
00078               0.40   -32000.00
00079              -1.00   -32800.00
00080              -1.20   -32000.00
00081              -0.40   -32000.00
00082              -0.60   -32800.00
00083              -0.80   -32000.00
00084              -0.60   -31200.00
00085              -1.00   -30400.00
00086              -0.80   -32000.00
00087              -0.20   -31200.00
00088              -0.60   -30400.00
00089              -0.60   -30400.00
00090              -0.40   -30400.00
00091              -1.20   -30400.00
00092              -0.40   -29600.00
00093              -0.60   -29600.00
00094              -1.20   -30400.00
00095               0.20   -29600.00
00096              -0.60   -29600.00
00097              -1.00   -28800.00
00098              -0.40   -28800.00
00099              -0.60   -28800.00
00100              -1.00   -28000.00
00101              -0.60   -27200.00
00102              -0.60   -27200.00
00103              -0.60   -27200.00
00104              -1.20   -27200.00
00105              -0.60   -26400.00
00106              -0.60   -26400.00
00107              -0.60   -25600.00
00108              -1.20   -25600.00
00109              -1.00   -24800.00
00110              -1.00   -24800.00
00111              -1.20   -24000.00
00112              -0.60   -24000.00
00113              -0.60   -23200.00
00114              -0.60   -23200.00
00115              -0.60   -22400.00
00116              -1.00   -22400.00
00117              -1.00   -22400.00
00118              -0.60   -20800.00
00119              -0.60   -20000.00
00120              -0.60   -20000.00
00121              -1.20   -19200.00
00122              -1.00   -20000.00
00123              -1.00   -18400.00
00124              -0.60   -17600.00
00125              -0.60   -17600.00
00126              -0.60   -16800.00
00127              -0.60   -16800.00
00128              -0.80   -16000.00
00129              -0.60   -16000.00
00130              -0.60   -14400.00
00131              -0.60   -14400.00
00132              -0.40   -14400.00
00133              -0.60   -13600.00
00134              -0.60   -12800.00
00135              -0.60   -12000.00
00136              -1.00   -12000.00
00137              -0.60   -11200.00
00138              -1.00   -11200.00
00139              -0.80   -10400.00
00140              -0.60    -9600.00
00141              -0.60    -9600.00
00142              -0.40    -8000.00
00143              -0.20    -8000.00
00144              -0.60    -7200.00
00145              -0.40    -6400.00
00146              -0.60    -5600.00
00147              -0.40    -4800.00
00148              -0.40    -4800.00
00149              -0.60    -4000.00
00150              -0.60    -3200.00
00151              -0.20    -3200.00
00152              -0.20    -2400.00
00153              -0.60    -1600.00
00154              -0.40     -800.00
00155              -0.60     -800.00
00156              -0.40      800.00
00157               0.20        0.00
00158               0.20     1600.00
00159               3.40     1600.00
00160               0.00     2400.00
00161              -1.80     3200.00
00162               1.00     3200.00
00163               1.00     3200.00
00164              -1.00     4800.00
00165               8.20     5600.00
00166              25.00     7200.00
00167             -14.60     6400.00
00168             -25.00     8000.00
00169              16.40     8800.00
00170              12.20     8800.00
00171             -25.00     8800.00
00172              25.00     9600.00
00173              23.60     9600.00
00174             -25.00    10400.00
00175              25.00    11200.00
00176             -25.00    11200.00
00177             -21.40    12800.00
00178              25.00    12800.00
00179             -25.00    12800.00
00180              25.00    14400.00
00181              -8.00    15200.00
00182             -25.00    15200.00
00183              25.00    15200.00
00184             -25.00    16000.00
00185             -13.40    16800.00
00186              25.00    17600.00
00187             -25.00    17600.00
00188             -24.60    18400.00
00189              25.00    19200.00
00190              -5.40    19200.00
00191             -25.00    20000.00
00192              25.00    20800.00
00193             -18.60    20800.00
00194              -1.40    21600.00
00195              16.40    21600.00
00196             -23.80    22400.00
00197              13.00    22400.00
00198               2.80    23200.00
00199             -12.40    24000.00
00200              10.60    24000.00
00201               8.20    24800.00
00202             -20.60    24800.00
00203              14.80    25600.00
00204               1.40    25600.00
00205             -15.60    25600.00
00206              15.40    27200.00
00207              -3.00    27200.00
00208              -5.20    27200.00
00209               6.20    27200.00
00210              -0.20    28000.00
00211              -4.20    28000.00
00212               4.20    28800.00
00213               0.40    28800.00
00214              -3.60    28800.00
00215               3.40    29600.00
00216              -1.80    29600.00
00217              -2.00    30400.00
00218               5.20    30400.00
00219              -2.80    30400.00
00220               0.20    31200.00
00221               4.20    30400.00
00222              -4.00    31200.00
00223               2.00    32000.00
00224               1.40    31200.00
00225              -2.00    32000.00
00226               2.20    32800.00
00227               0.60    32800.00
00228              -1.00    32000.00
00229              -0.20    32800.00
00230              -0.20    32000.00
00231               0.20    32800.00
