Unit:(mV)
                     CH1         CH2
Frequency              ? 299.945 kHz
00001              25.00    -6400.00
00002             -25.00    -7200.00
00003             -25.00    -8000.00
00004              25.00    -8800.00
00005               1.00    -9600.00
00006             -25.00    -8800.00
00007              25.00    -9600.00
00008              25.00   -10400.00
00009             -25.00   -10400.00
00010              25.00   -12000.00
00011              25.00   -12000.00
00012             -25.00   -12800.00
00013              25.00   -13600.00
00014             -13.20   -13600.00
00015               4.20   -14400.00
00016              13.80   -14400.00
00017             -25.00   -16000.00
00018              25.00   -16000.00
00019              -6.00   -16000.00
00020             -23.60   -17600.00
00021              25.00   -17600.00
00022               3.60   -18400.00
00023             -25.00   -18400.00
00024              16.40   -19200.00
00025              12.20   -20000.00
00026             -25.00   -20800.00
00027              25.00   -20800.00
00028               1.40   -20800.00
00029             -13.80   -22400.00
00030              18.00   -22400.00
00031              -8.20   -23200.00
00032              -4.60   -24000.00
00033              11.00   -24000.00
00034              -1.80   -24000.00
00035              -4.20   -24000.00
00036              14.00   -25600.00
00037              -7.80   -25600.00
00038              -0.80   -26400.00
00039               9.80   -26400.00
00040              -8.40   -26400.00
00041               4.40   -27200.00
00042               4.40   -27200.00
00043              -2.80   -27200.00
00044               2.20   -28800.00
00045               3.40   -28800.00
00046              -1.80   -29600.00
00047               2.60   -28800.00
00048               3.00   -29600.00
00049              -2.20   -29600.00
00050               2.80   -30400.00
00051               2.20   -30400.00
00052              -1.80   -31200.00
00053               4.20   -31200.00
00054               2.40   -31200.00
00055              -1.40   -32000.00
00056               4.20   -32000.00
00057               0.40   -32000.00
00058              -0.20   -32000.00
00059               2.60   -32800.00
00060               1.00   -32800.00
00061               2.00   -32800.00
00062               1.80   -32800.00
00063               0.80   -32800.00
00064               1.20   -32800.00
00065               1.60   -33600.00
00066               1.40   -33600.00
00067               1.60   -33600.00
00068               2.00   -33600.00
00069               1.00   -33600.00
00070               1.80   -33600.00
00071               1.80   -33600.00
00072               0.40   -33600.00
00073               2.60   -33600.00
00074               1.80   -33600.00
00075               1.00   -33600.00
00076               2.60   -33600.00
00077               0.60   -33600.00
00078               1.40   -33600.00
00079               2.20   -33600.00
00080               1.20   -33600.00
00081               1.80   -33600.00
00082               1.40   -32800.00
00083               1.80   -32800.00
00084               1.40   -32800.00
00085               1.80   -33600.00
00086               1.80   -32800.00
00087               1.60   -32000.00
00088               2.00   -32000.00
00089               1.20   -32000.00
00090               1.20   -32000.00
00091               1.80   -32000.00
00092               1.00   -32000.00
00093               2.20   -31200.00
00094               1.20   -32000.00
00095               1.20   -31200.00
00096               1.80   -31200.00
00097               1.20   -30400.00
00098               1.20   -30400.00
00099               1.40   -29600.00
00100               1.00   -29600.00
00101               1.00   -29600.00
00102               1.20   -28800.00
00103               1.20   -28800.00
00104               1.00   -28000.00
00105               1.20   -28000.00
00106               1.00   -27200.00
00107               1.20   -27200.00
00108               0.60   -27200.00
00109               1.00   -26400.00
00110               1.20   -26400.00
00111               1.00   -25600.00
00112               0.40   -25600.00
00113               1.00   -24800.00
00114               1.00   -24000.00
00115               0.40   -24000.00
00116               0.80   -23200.00
00117               1.00   -23200.00
00118               0.60   -22400.00
00119               0.60   -21600.00
00120               0.60   -20800.00
00121               1.00   -20800.00
00122               0.20   -20800.00
00123               0.40   -18400.00
00124               0.60   -19200.00
00125               0.40   -19200.00
00126               0.40   -17600.00
00127               0.20   -18400.00
00128               0.40   -16800.00
00129               0.20   -16800.00
00130               0.60   -16000.00
00131               0.60   -16000.00
00132               0.20   -15200.00
00133               0.40   -14400.00
00134               0.40   -14400.00
00135               0.20   -13600.00
00136               0.20   -13600.00
00137               0.20   -12000.00
00138               0.00   -11200.00
00139              -0.20   -11200.00
00140               0.20   -11200.00
00141               0.40   -10400.00
00142              -0.40    -9600.00
00143               0.20    -8800.00
00144               0.40    -8000.00
00145              -0.40    -7200.00
00146              -0.20    -7200.00
00147               0.20    -6400.00
00148               0.20    -4800.00
00149              -0.40    -4800.00
00150              -0.40    -4000.00
00151              -0.20    -3200.00
00152              -0.20    -3200.00
00153              -0.40    -1600.00
00154              -0.40    -1600.00
00155              -0.40    -1600.00
00156              -0.60     -800.00
00157              -0.40        0.00
00158               0.00      800.00
00159               0.20     1600.00
00160               3.40     1600.00
00161              -0.80     2400.00
00162              -1.80     2400.00
00163               0.60     3200.00
00164               0.40     3200.00
00165              -1.40     4800.00
00166              10.80     5600.00
00167              25.00     7200.00
00168             -25.00     8000.00
00169             -25.00     8000.00
00170              25.00     8800.00
00171               2.20     8800.00
00172             -25.00     8000.00
00173              25.00    11200.00
00174              11.80    10400.00
00175             -25.00    11200.00
00176              25.00    12000.00
00177             -25.00    12000.00
00178              -7.60    12800.00
00179              25.00    12800.00
00180             -25.00    14400.00
00181              25.00    14400.00
00182             -25.00    15200.00
00183             -25.00    16000.00
00184              25.00    16000.00
00185             -25.00    16800.00
00186               6.20    17600.00
00187              25.00    18400.00
00188             -23.80    18400.00
00189             -19.60    19200.00
00190              25.00    19200.00
00191             -16.40    20800.00
00192             -18.20    20800.00
00193              25.00    21600.00
00194             -25.00    22400.00
00195               8.80    22400.00
00196               7.40    24000.00
00197             -22.00    24000.00
00198               9.20    24000.00
00199               2.20    24000.00
00200             -11.80    24000.00
00201               5.40    24800.00
00202               5.80    25600.00
00203             -17.40    25600.00
00204              11.80    26400.00
00205              -4.60    27200.00
00206              -9.00    27200.00
00207               8.20    27200.00
00208              -7.20    28000.00
00209              -3.00    28000.00
00210               2.00    28000.00
00211              -3.00    29600.00
00212              -3.20    28800.00
00213               2.20    30400.00
00214              -3.40    30400.00
00215              -4.20    30400.00
00216               1.20    31200.00
00217              -4.20    30400.00
00218              -3.60    31200.00
00219               2.40    31200.00
00220              -4.40    32000.00
00221              -1.20    32800.00
00222               0.40    32000.00
00223              -4.60    32800.00
00224              -0.20    32800.00
00225              -2.80    32800.00
00226              -3.40    33600.00
00227               0.20    33600.00
00228              -2.20    33600.00
00229              -2.20    33600.00
00230              -2.20    33600.00
00231              -2.60    34400.00
00232              -1.80    33600.00
00233              -2.20    34400.00
00234              -2.00    33600.00
00235              -3.20    34400.00
00236              -1.20    34400.00
00237              -2.20    33600.00
00238              -3.40    33600.00
00239              -0.60    34400.00
00240              -3.60    34400.00
00241              -1.20    33600.00
00242              -1.00    33600.00
00243              -3.80    34400.00
00244              -1.40    33600.00
00245              -2.60    33600.00
00246              -2.60    34400.00
00247              -2.20    34400.00
00248              -2.60    33600.00
00249              -1.80    33600.00
00250              -2.20    33600.00
00251              -1.80    33600.00
00252              -3.00    33600.00
00253              -2.20    33600.00
00254              -1.60    33600.00
00255              -2.40    33600.00
00256              -1.20    33600.00
00257              -2.60    32000.00
00258              -2.20    32800.00
00259              -1.20    32800.00
00260              -2.60    32800.00
00261              -2.20    31200.00
00262              -2.00    32000.00
00263              -2.20    31200.00
00264              -2.00    31200.00
00265              -2.00    31200.00
00266              -2.20    30400.00
00267              -1.80    30400.00
00268              -1.80    30400.00
00269              -1.80    29600.00
00270              -2.00    28800.00
00271              -1.80    28800.00
00272              -2.00    28800.00
00273              -1.40    28000.00
00274              -1.20    28000.00
00275              -2.20    27200.00
00276              -1.40    27200.00
00277              -1.40    27200.00
00278              -2.00    26400.00
00279              -1.40    25600.00
00280              -2.00    25600.00
00281              -1.60    24800.00
00282              -1.40    24800.00
00283              -1.20    24000.00
00284              -1.20    24000.00
00285              -1.40    23200.00
00286              -1.00    22400.00
00287              -1.40    22400.00
00288              -1.80    21600.00
00289              -1.40    20800.00
00290              -1.40    20000.00
00291              -1.00    19200.00
00292              -1.20    19200.00
00293              -1.40    18400.00
00294              -1.20    18400.00
00295              -1.40    17600.00
00296              -1.00    17600.00
00297              -1.80    16800.00
00298              -1.20    16000.00
00299              -1.40    15200.00
00300              -1.20    14400.00
00301              -0.60    14400.00
00302              -1.20    13600.00
00303              -1.80    13600.00
00304              -0.60    12800.00
00305              -0.80    12000.00
00306              -1.20    11200.00
00307              -1.00    11200.00
00308              -1.00    10400.00
00309              -1.00     9600.00
00310              -0.60     9600.00
00311              -0.60     8800.00
00312              -1.40     8000.00
00313              -0.60     8000.00
00314              -0.60     6400.00
00315              -1.00     6400.00
00316              -0.60     5600.00
00317              -0.60     4800.00
00318              -0.60     4000.00
00319              -0.60     3200.00
00320              -0.60     2400.00
00321              -0.20     2400.00
00322              -0.60     1600.00
