Unit:(mV)
                     CH1         CH2
Frequency              ? 299.703 kHz
00001              25.00    -8800.00
00002             -14.40    -8800.00
00003             -25.00    -9600.00
00004              25.00   -10400.00
00005              23.20   -11200.00
00006             -25.00   -10400.00
00007              25.00   -12000.00
00008               2.00   -12800.00
00009             -25.00   -12800.00
00010              25.00   -13600.00
00011             -22.80   -13600.00
00012              23.60   -14400.00
00013             -15.60   -15200.00
00014             -13.20   -16000.00
00015              25.00   -16000.00
00016             -25.00   -16800.00
00017             -11.40   -17600.00
00018              25.00   -17600.00
00019              -7.00   -18400.00
00020             -25.00   -19200.00
00021              25.00   -20000.00
00022              -0.60   -20000.00
00023             -25.00   -20800.00
00024              25.00   -20800.00
00025              -5.00   -22400.00
00026             -11.00   -22400.00
00027              14.00   -23200.00
00028              -4.20   -23200.00
00029              -3.40   -24000.00
00030               8.60   -24000.00
00031              -0.60   -24000.00
00032               1.20   -24800.00
00033              10.00   -25600.00
00034             -10.40   -25600.00
00035               9.00   -26400.00
00036               4.00   -26400.00
00037              -9.00   -27200.00
00038              10.00   -28800.00
00039               3.00   -28000.00
00040              -3.60   -28800.00
00041               5.20   -28800.00
00042               6.20   -29600.00
00043              -5.00   -29600.00
00044               4.60   -29600.00
00045               5.20   -30400.00
00046              -3.60   -30400.00
00047               4.60   -30400.00
00048               3.80   -30400.00
00049              -0.20   -32000.00
00050               4.00   -32000.00
00051               2.60   -32000.00
00052              -0.20   -32000.00
00053               3.80   -32000.00
00054               1.00   -32800.00
00055               1.00   -32000.00
00056               3.40   -32800.00
00057               1.80   -32800.00
00058               3.60   -33600.00
00059               2.40   -33600.00
00060               1.80   -33600.00
00061               1.80   -33600.00
00062               2.60   -33600.00
00063               1.80   -33600.00
00064               1.80   -33600.00
00065               4.20   -33600.00
00066               2.00   -33600.00
00067               2.80   -33600.00
00068               2.80   -33600.00
00069               1.40   -33600.00
00070               3.00   -33600.00
00071               2.00   -33600.00
00072               2.60   -33600.00
00073               3.00   -33600.00
00074               2.00   -34400.00
00075               3.00   -33600.00
00076               3.20   -33600.00
00077               2.60   -33600.00
00078               2.60   -33600.00
00079               2.80   -33600.00
00080               2.20   -33600.00
00081               2.00   -32800.00
00082               3.00   -32800.00
00083               2.40   -33600.00
00084               2.20   -33600.00
00085               3.20   -32800.00
00086               2.20   -32800.00
00087               2.20   -32800.00
00088               2.60   -32000.00
00089               2.20   -32000.00
00090               3.00   -32000.00
00091               2.60   -32000.00
00092               2.40   -31200.00
00093               2.60   -30400.00
