Tiempo_(s)	Campo_(A/m)	Magnetizacion_(A/m)
0.0000000000	-31131.874372	-1023.282229
0.0000000100	-31132.959139	-1023.442442
0.0000000200	-31132.825266	-1023.594934
0.0000000300	-31132.654698	-1023.739591
0.0000000400	-31132.484129	-1023.876273
0.0000000500	-31132.313561	-1024.004810
0.0000000600	-31132.106296	-1024.125009
0.0000000700	-31130.496914	-1024.236650
0.0000000800	-31123.902887	-1024.339486
0.0000000900	-31113.542855	-1024.433246
0.0000001000	-31100.782241	-1024.517636
0.0000001100	-31085.877914	-1024.592334
0.0000001200	-31077.991856	-1024.656998
0.0000001300	-31066.523273	-1024.711262
0.0000001400	-31055.017993	-1024.754736
0.0000001500	-31041.038739	-1024.787013
0.0000001600	-31027.059486	-1024.807661
0.0000001700	-31013.968609	-1024.816229
0.0000001800	-30991.238706	-1024.812249
0.0000001900	-30969.690746	-1024.795233
0.0000002000	-30945.852291	-1024.764677
0.0000002100	-30926.704914	-1024.720059
0.0000002200	-30904.863388	-1024.660844
0.0000002300	-30875.820114	-1024.586481
0.0000002400	-30846.886927	-1024.496407
0.0000002500	-30817.843653	-1024.390046
0.0000002600	-30788.616900	-1024.266811
0.0000002700	-30755.991100	-1024.126107
0.0000002800	-30728.056378	-1023.967327
0.0000002900	-30697.574290	-1023.789860
0.0000003000	-30662.254341	-1023.593084
0.0000003100	-30626.934392	-1023.376376
0.0000003200	-30591.651138	-1023.139107
0.0000003300	-30556.147710	-1022.880646
0.0000003400	-30515.769725	-1022.600358
0.0000003500	-30475.428436	-1022.297610
0.0000003600	-30435.087146	-1021.971768
0.0000003700	-30393.490522	-1021.622201
0.0000003800	-30351.857202	-1021.248280
0.0000003900	-30308.968547	-1020.849382
0.0000004000	-30263.642613	-1020.424886
0.0000004100	-30219.572015	-1019.974180
0.0000004200	-30177.791912	-1019.496660
0.0000004300	-30132.392586	-1018.991729
0.0000004400	-30083.117169	-1018.458801
0.0000004500	-30028.673628	-1017.897300
0.0000004600	-29970.867736	-1017.306662
0.0000004700	-29914.500657	-1016.686337
0.0000004800	-29862.751266	-1016.035787
0.0000004900	-29810.781699	-1015.354490
0.0000005000	-29751.720472	-1014.641941
0.0000005100	-29692.549157	-1013.897648
0.0000005200	-29633.231059	-1013.121140
0.0000005300	-29570.293740	-1012.311962
0.0000005400	-29507.356420	-1011.469680
0.0000005500	-29445.674435	-1010.593876
0.0000005600	-29383.845667	-1009.684158
0.0000005700	-29319.506229	-1008.740149
0.0000005800	-29251.510874	-1007.761497
0.0000005900	-29182.260183	-1006.747871
0.0000006000	-29111.790853	-1005.698963
0.0000006100	-29039.992797	-1004.614488
0.0000006200	-28965.757462	-1003.494183
0.0000006300	-28891.558823	-1002.337810
0.0000006400	-28818.578823	-1001.145153
0.0000006500	-28744.196705	-999.916022
0.0000006600	-28667.267221	-998.650251
0.0000006700	-28587.973850	-997.347695
0.0000006800	-28506.059722	-996.008238
0.0000006900	-28420.526372	-994.631784
0.0000007000	-28333.737687	-993.218263
0.0000007100	-28247.022393	-991.767630
0.0000007200	-28164.146496	-990.279862
0.0000007300	-28082.158976	-988.754959
0.0000007400	-27995.333595	-987.192945
0.0000007500	-27907.289575	-985.593868
0.0000007600	-27819.098772	-983.957795
0.0000007700	-27728.544081	-982.284818
0.0000007800	-27635.515417	-980.575049
0.0000007900	-27543.668696	-978.828621
0.0000008000	-27451.821975	-977.045684
0.0000008100	-27358.646527	-975.226413
0.0000008200	-27262.887018	-973.370996
0.0000008300	-27163.544983	-971.479643
0.0000008400	-27064.202947	-969.552577
0.0000008500	-26963.568881	-967.590039
0.0000008600	-26862.971510	-965.592286
0.0000008700	-26762.374140	-963.559587
0.0000008800	-26660.521435	-961.492225
0.0000008900	-26558.632033	-959.390495
0.0000009000	-26455.523993	-957.254702
0.0000009100	-26352.305865	-955.085161
0.0000009200	-26247.795706	-952.882197
0.0000009300	-26140.921661	-950.646140
0.0000009400	-26034.010919	-948.377327
0.0000009500	-25924.736291	-946.076101
0.0000009600	-25816.606911	-943.742808
0.0000009700	-25709.586082	-941.377795
0.0000009800	-25600.201366	-938.981411
0.0000009900	-25489.561316	-936.554004
0.0000010000	-25377.812713	-934.095923
0.0000010100	-25268.427998	-931.607510
0.0000010200	-25158.896499	-929.089106
0.0000010300	-25047.001113	-926.541043
0.0000010400	-24935.069032	-923.963650
0.0000010500	-24821.734832	-921.357244
0.0000010600	-24703.415988	-918.722135
0.0000010700	-24581.514618	-916.058619
0.0000010800	-24460.978671	-913.366982
0.0000010900	-24342.659827	-910.647495
0.0000011000	-24221.830313	-907.900416
0.0000011100	-24100.002334	-905.125983
0.0000011200	-23979.319603	-902.324420
0.0000011300	-23857.381538	-899.495930
0.0000011400	-23735.443472	-896.640697
0.0000011500	-23613.358623	-893.758884
0.0000011600	-23488.873191	-890.850632
0.0000011700	-23363.169120	-887.916057
0.0000011800	-23236.209714	-884.955252
0.0000011900	-23108.105061	-881.968284
0.0000012000	-22982.254207	-878.955193
0.0000012100	-22855.184713	-875.915994
0.0000012200	-22724.275823	-872.850671
0.0000012300	-22588.308897	-869.759180
0.0000012400	-22448.942924	-866.641447
0.0000012500	-22311.977534	-863.497367
0.0000012600	-22175.048840	-860.326806
0.0000012700	-22039.302088	-857.129595
0.0000012800	-21904.590498	-853.905533
0.0000012900	-21765.041046	-850.654390
0.0000013000	-21623.017619	-847.375897
0.0000013100	-21480.994193	-844.069754
0.0000013200	-21338.970767	-840.735629
0.0000013300	-21196.947341	-837.373152
0.0000013400	-21054.923915	-833.981922
0.0000013500	-20912.900488	-830.561500
0.0000013600	-20770.877062	-827.111416
0.0000013700	-20627.598301	-823.631164
0.0000013800	-20483.064205	-820.120203
0.0000013900	-20339.601964	-816.577959
0.0000014000	-20192.557198	-813.003825
0.0000014100	-20044.293792	-809.397157
0.0000014200	-19898.320882	-805.757283
0.0000014300	-19748.692054	-802.083494
0.0000014400	-19595.370613	-798.375052
0.0000014500	-19443.377898	-794.631186
0.0000014600	-19293.822462	-790.851095
0.0000014700	-19142.974994	-787.033949
0.0000014800	-18989.690249	-783.178886
0.0000014900	-18837.477359	-779.285019
0.0000015000	-18684.119222	-775.351433
0.0000015100	-18528.433894	-771.377187
0.0000015200	-18375.075756	-767.361315
0.0000015300	-18221.754315	-763.302827
0.0000015400	-18068.322786	-759.200711
0.0000015500	-17913.746010	-755.053934
0.0000015600	-17757.913898	-750.861442
0.0000015700	-17600.679669	-746.622165
0.0000015800	-17441.191639	-742.335015
0.0000015900	-17284.214280	-737.998887
0.0000016000	-17128.235386	-733.612665
0.0000016100	-16968.490486	-729.175221
0.0000016200	-16806.381699	-724.685414
0.0000016300	-16644.272913	-720.142098
0.0000016400	-16482.164126	-715.544117
0.0000016500	-16321.310674	-710.890312
0.0000016600	-16160.457223	-706.179521
0.0000016700	-15999.603771	-701.410580
0.0000016800	-15838.750320	-696.582326
0.0000016900	-15676.641533	-691.693599
0.0000017000	-15514.532747	-686.743244
0.0000017100	-15352.423960	-681.730111
0.0000017200	-15188.913055	-676.653061
0.0000017300	-15023.001568	-671.510965
0.0000017400	-14855.871441	-666.302707
0.0000017500	-14688.741314	-661.027184
0.0000017600	-14521.757971	-655.683314
0.0000017700	-14356.844948	-650.270029
0.0000017800	-14187.020672	-644.786287
0.0000017900	-14012.688797	-639.231067
0.0000018000	-13843.084696	-633.603371
0.0000018100	-13674.699235	-627.902233
0.0000018200	-13508.751051	-622.126712
0.0000018300	-13340.182111	-616.275901
0.0000018400	-13166.665221	-610.348926
0.0000018500	-12990.600966	-604.344947
0.0000018600	-12810.880794	-598.263162
0.0000018700	-12629.905286	-592.102809
0.0000018800	-12447.711139	-585.863165
0.0000018900	-12265.590383	-579.543552
0.0000019000	-12085.906907	-573.143335
0.0000019100	-11907.405373	-566.661926
0.0000019200	-11727.758592	-560.098784
0.0000019300	-11549.330450	-553.453420
0.0000019400	-11369.610277	-546.725395
0.0000019500	-11187.562913	-539.914321
0.0000019600	-11007.916132	-533.019868
0.0000019700	-10829.341207	-526.041758
0.0000019800	-10648.365699	-518.979773
0.0000019900	-10466.171552	-511.833750
0.0000020000	-10283.977405	-504.603590
0.0000020100	-10101.783258	-497.289250
0.0000020200	-9919.589111	-489.890752
0.0000020300	-9737.394964	-482.408178
0.0000020400	-9555.200817	-474.841676
0.0000020500	-9373.006670	-467.191458
0.0000020600	-9190.812523	-459.457799
0.0000020700	-9008.618376	-451.641041
0.0000020800	-8826.277446	-443.741594
0.0000020900	-8641.572629	-435.759933
0.0000021000	-8455.759260	-427.696599
0.0000021100	-8272.309778	-419.552204
0.0000021200	-8089.968848	-411.327424
0.0000021300	-7905.227335	-403.023005
0.0000021400	-7718.158631	-394.639761
0.0000021500	-7533.490510	-386.178573
0.0000021600	-7351.259667	-377.640389
0.0000021700	-7167.810185	-369.026225
0.0000021800	-6984.360703	-360.337165
0.0000021900	-6799.619191	-351.574358
0.0000022000	-6613.659039	-342.739020
0.0000022100	-6427.735582	-333.832431
0.0000022200	-6241.775430	-324.855939
0.0000022300	-6057.070613	-315.810952
0.0000022400	-5873.474348	-306.698943
0.0000022500	-5687.367413	-297.521448
0.0000022600	-5497.641256	-288.280061
0.0000022700	-5306.623068	-278.976438
0.0000022800	-5114.386240	-269.612293
0.0000022900	-4923.551531	-260.189398
0.0000023000	-4735.264188	-250.709579
0.0000023100	-4549.157253	-241.174718
0.0000023200	-4361.758287	-231.586748
0.0000023300	-4172.178913	-221.947655
0.0000023400	-3983.708091	-212.259474
0.0000023500	-3793.835151	-202.524286
0.0000023600	-3602.853658	-192.744220
0.0000023700	-3413.127501	-182.921446
0.0000023800	-3222.292792	-173.058178
0.0000023900	-3032.566635	-163.156670
0.0000024000	-2844.095813	-153.219211
0.0000024100	-2656.880326	-143.248129
0.0000024200	-2468.409504	-133.245783
0.0000024300	-2278.683347	-123.214563
0.0000024400	-2090.065741	-113.156888
0.0000024500	-1898.937466	-103.075204
0.0000024600	-1704.189969	-92.971980
0.0000024700	-1509.552559	-82.849707
0.0000024800	-1314.805062	-72.710896
0.0000024900	-1120.277739	-62.558072
0.0000025000	-931.806917	-52.393776
0.0000025100	-743.152616	-42.220560
0.0000025200	-550.769006	-32.040985
0.0000025300	-355.874725	-21.857619
0.0000025400	-158.800037	-11.673033
0.0000025500	34.545342	-1.489799
0.0000025600	225.563530	8.689511
0.0000025700	417.653574	18.862331
0.0000025800	607.379731	29.026100
0.0000025900	797.252671	39.178266
0.0000026000	989.636282	49.316289
0.0000026100	1184.236996	59.437643
0.0000026200	1376.327040	69.539819
0.0000026300	1564.761166	79.620327
0.0000026400	1751.976653	89.676699
0.0000026500	1939.228836	99.706490
0.0000026600	2127.662962	109.707282
0.0000026700	2316.280568	119.676687
0.0000026800	2506.043421	129.612346
0.0000026900	2697.024913	139.511935
0.0000027000	2889.261740	149.373166
0.0000027100	3080.206536	159.193786
0.0000027200	3269.932693	168.971585
0.0000027300	3460.804098	178.704394
0.0000027400	3649.274920	188.390088
0.0000027500	3837.745742	198.026588
0.0000027600	4027.471900	207.611861
0.0000027700	4216.126201	217.143927
0.0000027800	4407.107693	226.620855
0.0000027900	4599.307824	236.040768
0.0000028000	4791.397868	245.401843
0.0000028100	4979.831994	254.702312
0.0000028200	5167.194265	263.940468
0.0000028300	5358.065670	273.114659
0.0000028400	5547.755131	282.223295
0.0000028500	5734.933922	291.264847
0.0000028600	5920.930770	300.237850
0.0000028700	6108.182953	309.140898
0.0000028800	6295.251657	317.972654
0.0000028900	6481.321896	326.731844
0.0000029000	6668.500688	335.417260
0.0000029100	6853.058721	344.027760
0.0000029200	7035.399652	352.562270
0.0000029300	7220.104469	361.019783
0.0000029400	7405.917837	369.399359
0.0000029500	7589.550798	377.700128
0.0000029600	7775.510951	385.921286
0.0000029700	7961.471103	394.062100
0.0000029800	8147.431255	402.121903
0.0000029900	8333.207928	410.100097
0.0000030000	8515.402075	417.996153
0.0000030100	8697.596222	425.809608
0.0000030200	8879.790369	433.540067
0.0000030300	9061.984516	441.187203
0.0000030400	9244.325446	448.750754
0.0000030500	9429.030263	456.230524
0.0000030600	9613.588297	463.626382
0.0000030700	9795.782444	470.938263
0.0000030800	9977.976591	478.166161
0.0000030900	10160.170738	485.310137
0.0000031000	10342.364885	492.370311
0.0000031100	10524.559032	499.346862
0.0000031200	10706.753179	506.240030
0.0000031300	10888.947326	513.050112
0.0000031400	11070.994689	519.777460
0.0000031500	11250.678166	526.422484
0.0000031600	11430.471731	532.985645
0.0000031700	11611.373847	539.467456
0.0000031800	11791.094020	545.868481
0.0000031900	11972.032832	552.189332
0.0000032000	12151.716309	558.430669
0.0000032100	12331.363090	564.593197
0.0000032200	12511.009871	570.677664
0.0000032300	12688.256069	576.684860
0.0000032400	12866.537428	582.615615
0.0000032500	13042.234725	588.470795
0.0000032600	13212.059001	594.251304
0.0000032700	13386.611050	599.958080
0.0000032800	13562.198260	605.592092
0.0000032900	13730.547026	611.154338
0.0000033000	13896.531905	616.645847
0.0000033100	14062.590176	622.067669
0.0000033200	14232.120885	627.420883
0.0000033300	14400.359564	632.706586
0.0000033400	14566.344443	637.925896
0.0000033500	14733.437874	643.079949
0.0000033600	14899.202578	648.169894
0.0000033700	15063.822034	653.196896
0.0000033800	15227.186156	658.162130
0.0000033900	15391.805613	663.066782
0.0000034000	15556.388374	667.912041
0.0000034100	15718.350377	672.699105
0.0000034200	15877.948494	677.429174
0.0000034300	16037.693393	682.103448
0.0000034400	16199.802180	686.723128
0.0000034500	16361.874271	691.289411
0.0000034600	16522.727722	695.803490
0.0000034700	16683.617870	700.266551
0.0000034800	16845.726656	704.679772
0.0000034900	17007.798747	709.044320
0.0000035000	17168.652199	713.361352
0.0000035100	17329.542346	717.632011
0.0000035200	17491.504349	721.857423
0.0000035300	17650.918987	726.038699
0.0000035400	17806.861186	730.176932
0.0000035500	17962.693297	734.273194
0.0000035600	18117.270074	738.328538
0.0000035700	18271.846850	742.343992
0.0000035800	18426.313539	746.320561
0.0000035900	18579.634981	750.259227
0.0000036000	18732.919726	754.160944
0.0000036100	18884.949137	758.026637
0.0000036200	19035.759908	761.857208
0.0000036300	19186.607376	765.653524
0.0000036400	19338.673482	769.416426
0.0000036500	19490.739588	773.146723
0.0000036600	19642.622216	776.845191
0.0000036700	19789.483503	780.512575
0.0000036800	19931.690408	784.149587
0.0000036900	20078.881958	787.756905
0.0000037000	20229.509250	791.335174
0.0000037100	20376.407233	794.885003
0.0000037200	20519.685995	798.406970
0.0000037300	20662.964756	801.901613
0.0000037400	20806.243517	805.369440
0.0000037500	20948.266943	808.810921
0.0000037600	21090.290370	812.226492
0.0000037700	21232.313796	815.616554
0.0000037800	21374.337222	818.981472
0.0000037900	21516.360648	822.321578
0.0000038000	21658.384074	825.637169
0.0000038100	21799.152166	828.928508
0.0000038200	21939.920257	832.195823
0.0000038300	22081.943683	835.439311
0.0000038400	22223.930413	838.659135
0.0000038500	22363.406474	841.855426
0.0000038600	22501.480416	845.028284
0.0000038700	22634.422931	848.177777
0.0000038800	22762.637672	851.303945
0.0000038900	22890.999196	854.406798
0.0000039000	23019.067154	857.486317
0.0000039100	23145.989864	860.542455
0.0000039200	23271.877414	863.575142
0.0000039300	23400.092155	866.584279
0.0000039400	23528.123416	869.569743
0.0000039500	23652.425369	872.531390
0.0000039600	23774.363435	875.469053
0.0000039700	23896.154718	878.382541
0.0000039800	24015.582113	881.271647
0.0000039900	24135.156292	884.136145
0.0000040000	24256.947575	886.975788
0.0000040100	24375.119636	889.790318
0.0000040200	24492.036362	892.579459
0.0000040300	24608.769608	895.342921
0.0000040400	24722.030416	898.080404
0.0000040500	24836.436472	900.791596
0.0000040600	24950.695745	903.476176
0.0000040700	25063.846465	906.133814
0.0000040800	25176.997186	908.764173
0.0000040900	25288.892571	911.366913
0.0000041000	25400.824653	913.941686
0.0000041100	25513.828590	916.488145
0.0000041200	25624.395249	919.005940
0.0000041300	25731.269295	921.494719
0.0000041400	25838.143341	923.954134
0.0000041500	25944.980690	926.383839
0.0000041600	26050.452618	928.783490
0.0000041700	26153.597354	931.152751
0.0000041800	26256.705394	933.491289
0.0000041900	26359.776739	935.798781
0.0000042000	26461.629444	938.074911
0.0000042100	26563.482150	940.319373
0.0000042200	26665.334855	942.531874
0.0000042300	26767.187561	944.712130
0.0000042400	26869.040266	946.859871
0.0000042500	26970.892972	948.974843
0.0000042600	27072.562198	951.056804
0.0000042700	27169.099997	953.105530
0.0000042800	27259.617992	955.120812
0.0000042900	27349.027434	957.102460
0.0000043000	27439.765603	959.050303
0.0000043100	27532.830964	960.964187
0.0000043200	27625.749541	962.843978
0.0000043300	27717.522870	964.689564
0.0000043400	27806.822225	966.500854
0.0000043500	27895.974797	968.277776
0.0000043600	27982.763483	970.020282
0.0000043700	28069.552168	971.728346
0.0000043800	28156.157374	973.401965
0.0000043900	28237.961415	975.041158
0.0000044000	28322.386213	976.645967
0.0000044100	28409.138202	978.216458
0.0000044200	28493.232739	979.752722
0.0000044300	28573.561270	981.254871
0.0000044400	28649.051939	982.723042
0.0000044500	28724.689393	984.157394
0.0000044600	28803.799284	985.558113
