Unit:(mV)
                     CH1         CH2
Frequency              ? 208.380 kHz
00001              -2.00    -2000.00
00002               0.20    -2200.00
00003               0.20    -2400.00
00004              -1.80    -2200.00
00005              -0.80    -2000.00
00006               0.60    -2000.00
00007              -0.60    -2200.00
00008              -0.60    -2000.00
00009               0.20    -2000.00
00010              -0.60    -2000.00
00011              -1.20    -2000.00
00012               0.20    -2000.00
00013              -0.60    -2000.00
00014              -0.80    -2000.00
00015               0.20    -2000.00
00016              -0.60    -2000.00
00017              -1.40    -2000.00
00018              -0.20    -1800.00
00019              -0.40    -1800.00
00020              -0.60    -1800.00
00021              -0.40    -2000.00
00022              -0.40    -1800.00
00023              -0.60    -1800.00
00024              -0.40    -1600.00
00025               0.20    -1800.00
00026              -0.60    -1800.00
00027              -0.60    -1800.00
00028              -0.20    -1600.00
00029              -0.60    -1600.00
00030              -0.60    -1600.00
00031               0.20    -1600.00
00032              -0.20    -1600.00
00033              -1.00    -1600.00
00034              -0.60    -1600.00
00035              -0.20    -1200.00
00036              -0.60    -1600.00
00037              -0.80    -1200.00
00038              -0.20    -1200.00
00039               0.20    -1400.00
00040              -0.40    -1200.00
00041              -0.40    -1200.00
00042              -0.40    -1000.00
00043              -0.60    -1200.00
00044              -0.40    -1000.00
00045              -0.20    -1000.00
00046              -0.60    -1200.00
00047              -0.40    -1000.00
00048               0.20    -1000.00
00049              -0.60    -1000.00
00050              -0.60    -1000.00
00051              -0.20     -800.00
00052              -0.60     -800.00
00053              -0.60     -800.00
00054               0.20     -800.00
00055              -0.40     -800.00
00056              -1.00     -800.00
00057               0.20     -800.00
00058              -0.40     -600.00
00059              -1.20     -800.00
00060               0.20     -800.00
00061               0.20     -600.00
00062              -1.40     -800.00
00063              -0.20     -400.00
00064               0.40     -600.00
00065              -1.20     -400.00
00066              -0.60     -400.00
00067               0.40     -400.00
00068              -0.60     -400.00
00069              -0.60     -400.00
00070              -0.20     -400.00
00071              -0.60     -400.00
00072              -0.60     -200.00
00073               0.00     -200.00
00074              -0.20     -200.00
00075              -0.80     -200.00
00076               0.20     -200.00
00077               0.40     -200.00
00078              -0.60     -200.00
00079              -0.60        0.00
00080              -0.20        0.00
00081              -1.00        0.00
00082              -0.20        0.00
00083               0.40        0.00
00084               1.20        0.00
00085               7.40      400.00
00086               1.40      200.00
00087              -4.40      200.00
00088               3.80        0.00
00089             -25.00      200.00
00090               7.60      400.00
00091              25.00        0.00
00092              -6.00      400.00
00093             -16.80      400.00
00094              19.20      600.00
00095              -2.00      400.00
00096             -22.20      400.00
00097              22.60      400.00
00098              13.40      600.00
00099             -25.00      600.00
00100             -17.80      600.00
00101              25.00      800.00
00102              14.80      800.00
00103             -25.00      600.00
00104              -6.80      800.00
00105              25.00      800.00
00106              -3.60      800.00
00107             -25.00      800.00
00108              21.00     1000.00
00109              25.00      800.00
00110             -25.00      800.00
00111             -25.00     1200.00
00112              25.00     1000.00
00113              11.60     1200.00
00114             -25.00     1200.00
00115               5.00     1000.00
00116              25.00     1200.00
00117             -16.40     1200.00
00118             -24.60     1200.00
00119              24.40     1200.00
00120              13.40     1200.00
00121             -25.00     1200.00
00122              -4.60     1400.00
00123              25.00     1400.00
00124              -5.00     1400.00
00125             -24.20     1400.00
00126              12.40     1400.00
00127              15.60     1400.00
00128             -17.20     1400.00
00129              -8.00     1600.00
00130              18.80     1400.00
00131              -0.40     1600.00
00132             -16.20     1800.00
00133               7.00     1600.00
00134              10.20     1600.00
00135             -10.60     1800.00
00136              -4.60     1600.00
00137              10.60     1800.00
00138              -1.00     1800.00
00139              -8.60     2000.00
00140               5.20     1800.00
00141               4.20     2000.00
00142              -6.20     2000.00
00143               0.60     2000.00
00144               5.00     2000.00
00145              -3.00     2000.00
00146              -3.40     2000.00
00147               3.60     2000.00
00148               1.40     2000.00
00149              -2.60     2000.00
00150               0.80     2000.00
00151               1.80     2200.00
00152              -1.40     2000.00
00153              -0.40     2000.00
00154               1.40     2200.00
00155              -0.40     2200.00
00156              -1.00     2000.00
00157               1.80     2200.00
00158               0.40     2200.00
00159              -2.00     2200.00
00160               0.60     2200.00
00161               2.00     2200.00
00162              -1.20     2200.00
00163              -0.60     2200.00
00164               2.00     2200.00
00165              -0.20     2200.00
00166              -1.40     2400.00
00167               1.80     2400.00
00168               0.60     2400.00
00169              -2.20     2400.00
00170               0.60     2400.00
00171               2.20     2400.00
00172              -1.40     2400.00
00173              -1.20     2400.00
00174               2.20     2400.00
00175               0.40     2400.00
00176              -1.40     2400.00
00177               0.60     2400.00
00178               1.20     2400.00
00179              -1.20     2400.00
00180              -0.40     2400.00
00181               1.40     2400.00
00182              -0.20     2400.00
00183              -1.40     2400.00
00184               1.20     2400.00
00185               0.80     2400.00
00186              -1.40     2400.00
00187               0.20     2400.00
00188               0.80     2400.00
00189               0.00     2400.00
00190              -0.60     2800.00
00191              -0.20     2800.00
00192               0.40     2400.00
00193              -0.40     2400.00
00194               0.20     2400.00
00195               0.60     2600.00
00196              -0.40     2400.00
00197              -0.60     2600.00
00198               0.60     2600.00
00199               0.20     2400.00
00200              -0.80     2600.00
00201               0.40     2600.00
00202               0.40     2400.00
00203               0.20     2600.00
00204               0.00     2400.00
00205              -1.00     2800.00
00206               0.40     2400.00
00207               1.00     2400.00
00208              -0.60     2400.00
00209               0.20     2400.00
00210               0.40     2600.00
00211               0.20     2400.00
00212               0.20     2400.00
00213               0.20     2600.00
00214              -0.60     2400.00
00215               0.40     2400.00
00216              -0.20     2400.00
00217               0.20     2400.00
00218               0.40     2400.00
00219               0.20     2400.00
00220               0.20     2400.00
00221              -0.20     2400.00
00222              -0.20     2400.00
00223               0.40     2400.00
00224               0.20     2400.00
