Unit:(mV)
                     CH1         CH2
Frequency              ? 262.179 kHz
00001               0.80     3000.00
00002               1.20     2800.00
00003               0.40     2600.00
00004               0.40     2400.00
00005               1.20     2000.00
00006               0.80     2000.00
00007               0.00     1600.00
00008               0.40     1600.00
00009               0.40     1400.00
00010              -0.40     1200.00
00011              -0.40      800.00
00012               0.00      800.00
00013               0.80      600.00
00014               0.40      200.00
00015               0.00        0.00
00016              -0.40        0.00
00017              -0.40     -200.00
00018               0.80     -400.00
00019               0.40     -800.00
00020              -1.60     -800.00
00021              -0.40    -1000.00
00022              -0.40    -1200.00
00023              -1.60    -1600.00
00024              -0.40    -1600.00
00025              12.00    -2000.00
00026              24.00    -2400.00
00027             -36.40    -2600.00
00028             -30.00    -2800.00
00029               2.40    -2600.00
00030              30.80    -2800.00
00031              50.00    -3400.00
00032             -50.00    -3200.00
00033             -16.40    -3200.00
00034              50.00    -4000.00
00035             -50.00    -4000.00
00036             -50.00    -4000.00
00037              50.00    -4600.00
00038             -42.40    -4200.00
00039             -50.00    -4600.00
00040              50.00    -5200.00
00041              -9.20    -5000.00
00042             -50.00    -5600.00
00043              18.00    -5600.00
00044              -1.20    -5600.00
00045              26.80    -6000.00
00046             -50.00    -6000.00
00047               0.80    -6400.00
00048              50.00    -6400.00
00049             -50.00    -6400.00
00050             -15.60    -6800.00
00051              37.20    -7200.00
00052              -8.40    -7200.00
00053             -30.80    -7400.00
00054              -6.80    -7400.00
00055              40.00    -8000.00
00056             -36.40    -8000.00
00057             -23.60    -8200.00
00058              36.00    -8400.00
00059             -23.20    -8400.00
00060             -23.60    -8800.00
00061              10.40    -8800.00
00062               6.80    -8800.00
00063             -28.80    -9000.00
00064              -4.40    -9200.00
00065              15.60    -9200.00
00066             -29.60    -9600.00
00067              -6.00    -9800.00
00068               3.60    -9800.00
00069             -13.20   -10000.00
00070             -10.40   -10000.00
00071              -5.60   -10200.00
00072              -2.80   -10200.00
00073             -17.20   -10400.00
00074              -7.60   -10600.00
00075              -3.60   -10800.00
00076             -15.60   -10600.00
00077             -11.60   -10800.00
00078              -2.80   -11000.00
00079             -11.60   -11000.00
00080             -17.20   -11200.00
00081              -5.20   -11400.00
00082              -9.20   -11400.00
00083             -18.80   -11600.00
00084             -10.00   -11600.00
00085              -5.60   -11600.00
00086             -18.80   -12000.00
00087             -15.20   -11800.00
00088              -6.80   -12000.00
00089             -17.20   -12000.00
00090             -19.60   -12200.00
00091             -10.80   -12200.00
00092             -12.00   -12200.00
00093             -20.80   -12400.00
00094             -16.40   -12400.00
00095             -13.20   -12400.00
00096             -20.40   -12800.00
00097             -20.80   -12400.00
00098             -16.80   -12600.00
00099             -17.20   -12600.00
00100             -23.60   -12800.00
00101             -20.40   -12800.00
00102             -18.80   -12800.00
00103             -23.60   -12800.00
00104             -24.40   -12800.00
00105             -21.20   -12800.00
00106             -22.00   -12800.00
00107             -26.00   -12800.00
00108             -24.40   -12800.00
00109             -23.60   -12800.00
00110             -26.80   -12800.00
00111             -26.00   -12800.00
00112             -25.20   -12800.00
00113             -24.80   -12800.00
00114             -26.00   -12800.00
00115             -25.60   -12800.00
00116             -24.80   -12800.00
00117             -24.00   -12800.00
00118             -24.40   -12800.00
00119             -22.80   -12800.00
00120             -21.60   -12800.00
00121             -20.40   -12800.00
00122             -20.40   -12600.00
00123             -19.60   -12400.00
00124             -18.40   -12400.00
00125             -18.40   -12400.00
00126             -17.20   -12400.00
00127             -17.20   -12400.00
00128             -15.60   -12400.00
00129             -17.20   -12200.00
00130             -16.40   -12200.00
00131             -14.00   -12000.00
00132             -14.00   -12000.00
00133             -15.20   -12000.00
00134             -13.60   -12000.00
00135             -13.20   -12000.00
00136             -14.00   -11600.00
00137             -13.20   -11600.00
00138             -10.80   -11600.00
00139             -11.60   -11400.00
00140             -12.40   -11400.00
00141             -10.80   -11400.00
00142             -10.80   -11000.00
00143             -11.20   -11000.00
00144             -10.00   -10800.00
00145              -9.20   -10600.00
00146             -10.00   -10600.00
00147              -9.60   -10400.00
00148              -9.20   -10600.00
00149              -9.20   -10400.00
00150              -8.80   -10200.00
00151              -7.60   -10200.00
00152              -7.60   -10000.00
00153              -8.80    -9800.00
00154              -8.00    -9600.00
00155              -7.20    -9600.00
00156              -7.60    -9200.00
00157              -7.20    -9400.00
00158              -6.00    -9000.00
00159              -6.00    -9000.00
00160              -6.80    -8800.00
00161              -6.80    -8600.00
00162              -5.60    -8400.00
00163              -6.40    -8200.00
00164              -6.00    -8200.00
00165              -4.80    -8000.00
00166              -4.00    -7800.00
00167              -6.00    -7600.00
00168              -4.40    -7600.00
00169              -4.80    -7400.00
00170              -5.20    -7200.00
00171              -4.40    -7000.00
00172              -3.60    -6800.00
00173              -4.40    -6600.00
00174              -4.00    -6400.00
00175              -3.60    -6400.00
00176              -4.00    -6000.00
00177              -4.00    -5800.00
00178              -3.60    -5800.00
00179              -3.60    -5600.00
00180              -3.20    -5400.00
00181              -2.80    -5200.00
00182              -3.60    -5000.00
00183              -2.80    -4600.00
00184              -2.80    -4600.00
00185              -2.40    -4400.00
00186              -2.80    -4200.00
00187              -2.40    -4000.00
00188              -2.40    -3600.00
00189              -2.40    -3600.00
00190              -2.40    -3400.00
00191              -1.60    -3200.00
00192              -2.40    -3200.00
00193              -1.60    -2800.00
00194              -2.00    -2600.00
00195              -2.80    -2400.00
00196              -1.60    -2200.00
00197              -1.20    -2000.00
00198              -2.00    -1800.00
00199              -2.00    -1600.00
00200               0.40    -1200.00
00201              -1.20    -1200.00
00202              -2.00    -1000.00
00203              -0.40     -600.00
00204              -0.40     -400.00
00205              -1.20     -200.00
00206               0.40     -200.00
00207              -1.20        0.00
00208               0.40      400.00
00209               2.00      600.00
00210               0.40      600.00
00211              -1.20      800.00
00212               2.00     1200.00
00213               0.80     1400.00
00214               0.80     1800.00
00215               2.00     1800.00
00216               8.40     2000.00
00217              20.40     2400.00
00218             -12.40     2600.00
00219             -34.40     2800.00
00220               2.80     2800.00
00221               4.00     3000.00
00222              36.80     3200.00
00223               8.80     3400.00
00224             -50.00     3400.00
00225              50.00     3800.00
00226              50.00     3800.00
00227             -50.00     4000.00
00228              19.60     4600.00
00229              50.00     4400.00
00230             -50.00     4800.00
00231              -4.40     5200.00
00232              50.00     5200.00
00233             -27.60     5400.00
00234             -17.60     5600.00
00235              18.00     5600.00
00236              23.60     6000.00
00237             -16.80     6200.00
00238             -18.40     6400.00
00239              45.20     6400.00
00240               4.40     6800.00
00241             -31.60     7000.00
00242              14.00     7000.00
00243              26.80     7200.00
00244              -8.00     7600.00
00245             -17.20     7400.00
00246              26.40     7800.00
00247              16.80     8000.00
00248             -24.40     8400.00
00249              14.40     8400.00
00250              24.40     8600.00
00251             -16.80     8600.00
00252               2.00     8800.00
00253              29.20     9000.00
00254              -4.00     9000.00
00255              -9.20     9200.00
00256              25.20     9400.00
00257               7.20     9400.00
00258              -8.00     9600.00
00259              12.40    10000.00
00260              14.80    10000.00
00261               0.80    10000.00
00262               5.20    10200.00
00263              14.00    10400.00
00264               6.80    10400.00
00265               4.00    10400.00
00266              12.00    10600.00
00267              10.80    10800.00
00268               4.00    10800.00
00269              10.80    11000.00
00270              15.20    11000.00
00271               6.40    11200.00
00272               8.40    11200.00
00273              16.40    11400.00
00274               9.20    11600.00
00275               7.60    11800.00
00276              16.80    11800.00
00277              13.60    11800.00
00278               8.40    12000.00
00279              16.40    12000.00
00280              16.80    12000.00
00281              10.40    12200.00
00282              14.00    12200.00
00283              19.60    12200.00
00284              14.40    12400.00
00285              14.80    12400.00
00286              19.60    12400.00
00287              18.80    12400.00
00288              16.40    12600.00
00289              18.40    12400.00
00290              21.60    12600.00
00291              19.60    12600.00
00292              18.80    12800.00
00293              23.20    12600.00
00294              22.80    12800.00
00295              20.00    12800.00
00296              23.60    12800.00
00297              25.20    12800.00
00298              22.80    12800.00
00299              23.60    12800.00
00300              26.40    12800.00
00301              24.80    12800.00
00302              24.40    12800.00
00303              26.40    12800.00
00304              26.40    12800.00
00305              24.40    12800.00
00306              24.80    12800.00
00307              24.80    12800.00
00308              23.20    12600.00
00309              22.00    12800.00
00310              22.40    12600.00
00311              20.40    12800.00
00312              19.60    12600.00
00313              19.60    12800.00
00314              18.80    12400.00
00315              18.00    12600.00
00316              16.80    12400.00
00317              17.20    12600.00
00318              16.80    12200.00
00319              14.80    12400.00
00320              15.20    12200.00
00321              14.80    12400.00
00322              14.40    12400.00
00323              14.00    12000.00
00324              13.20    12000.00
00325              12.40    12000.00
00326              13.60    11800.00
00327              11.60    11800.00
00328              11.60    11600.00
00329              12.00    11600.00
00330              11.20    11400.00
00331              10.80    11200.00
00332              10.80    11200.00
00333              10.80    11200.00
00334              10.00    11000.00
00335               9.20    10800.00
00336               9.20    10800.00
00337               8.80    10600.00
00338               8.40    10600.00
00339               8.40    10400.00
00340               8.40    10400.00
00341               7.60    10400.00
00342               7.20    10000.00
00343               7.60    10000.00
00344               7.60     9800.00
00345               6.40     9600.00
00346               7.20     9600.00
00347               6.80     9200.00
00348               5.20     9200.00
00349               6.00     8800.00
00350               6.80     9000.00
00351               5.20     8800.00
00352               5.60     8600.00
00353               5.60     8600.00
00354               5.60     8400.00
00355               5.20     8000.00
00356               5.20     8000.00
00357               5.20     7800.00
00358               4.40     7600.00
00359               4.00     7400.00
00360               4.80     7600.00
00361               4.00     7200.00
00362               3.60     7000.00
00363               4.00     6800.00
00364               4.00     6400.00
00365               3.60     6400.00
00366               3.60     6200.00
00367               3.60     6000.00
00368               3.60     6000.00
00369               2.40     5600.00
00370               2.80     5400.00
00371               2.80     5200.00
00372               2.80     5200.00
00373               2.00     4800.00
00374               2.40     4600.00
00375               2.40     4400.00
00376               2.00     4400.00
00377               2.00     4000.00
00378               2.00     4000.00
00379               1.20     3800.00
00380               1.20     3600.00
00381               1.20     3200.00
00382               0.80     3000.00
00383               1.20     2800.00
00384               0.80     2800.00
00385               0.80     2400.00
00386               0.80     2200.00
00387               0.80     2200.00
00388               0.80     2000.00
00389               0.40     1600.00
00390               0.40     1400.00
00391               0.40     1400.00
00392              -0.40     1000.00
00393               0.40      800.00
00394              -0.40      600.00
00395              -0.40      400.00
00396              -0.40      200.00
00397              -0.40        0.00
00398              -0.80     -200.00
00399               0.40     -400.00
00400               1.20     -600.00
00401              -1.20     -800.00
00402              -1.20    -1000.00
00403               0.40    -1200.00
00404              -0.80    -1400.00
00405              -1.20    -1600.00
00406               3.60    -1800.00
00407              29.60    -2000.00
00408             -13.60    -2600.00
00409             -47.60    -2800.00
00410              -2.80    -2800.00
00411               5.60    -2600.00
00412              50.00    -3200.00
00413             -28.80    -3600.00
00414             -50.00    -3200.00
00415              50.00    -3600.00
00416              45.60    -4000.00
00417             -50.00    -4000.00
00418              50.00    -4400.00
00419              50.00    -4600.00
00420             -50.00    -4400.00
00421              50.00    -5000.00
00422              50.00    -5000.00
00423             -50.00    -5200.00
00424               5.20    -5600.00
00425               0.80    -5600.00
00426              22.00    -6000.00
00427             -19.60    -6000.00
00428             -50.00    -6000.00
00429              50.00    -6600.00
00430             -14.00    -6400.00
00431             -50.00    -6800.00
00432              34.80    -7200.00
00433               9.20    -7200.00
00434             -24.40    -7400.00
00435             -26.40    -7400.00
00436              31.60    -7600.00
00437               2.00    -8000.00
00438             -50.00    -8000.00
00439              26.80    -8400.00
00440               5.20    -8200.00
00441             -34.00    -8600.00
00442              -1.20    -8800.00
00443              14.00    -8600.00
00444             -15.60    -9000.00
00445             -24.40    -9000.00
00446              20.00    -9400.00
00447             -13.60    -9200.00
00448             -23.20    -9600.00
00449               7.20    -9800.00
00450              -7.60    -9800.00
00451             -12.40   -10000.00
00452              -8.80   -10000.00
00453               0.00   -10400.00
00454             -13.20   -10400.00
00455             -15.20   -10400.00
00456               0.80   -10800.00
00457             -12.40   -10800.00
00458             -16.80   -10800.00
00459              -2.80   -10800.00
00460              -6.00   -11000.00
00461             -19.60   -11000.00
00462              -9.20   -11200.00
00463              -4.00   -11400.00
00464             -18.80   -11400.00
00465             -15.20   -11600.00
00466              -3.60   -11600.00
00467             -14.40   -11800.00
00468             -20.40   -11800.00
00469              -7.60   -12000.00
00470             -12.40   -12000.00
00471             -21.20   -12200.00
00472             -14.00   -12200.00
00473             -10.40   -12200.00
00474             -18.40   -12400.00
00475             -19.60   -12400.00
00476             -13.20   -12400.00
00477             -18.00   -12400.00
00478             -22.00   -12400.00
00479             -18.40   -12800.00
00480             -15.60   -12600.00
00481             -21.60   -12400.00
00482             -22.40   -12800.00
00483             -18.00   -12800.00
00484             -22.00   -12800.00
00485             -24.80   -13000.00
00486             -21.60   -12800.00
00487             -21.20   -12800.00
00488             -24.80   -12800.00
00489             -25.20   -12800.00
00490             -23.60   -13000.00
00491             -25.20   -13000.00
00492             -26.80   -12800.00
00493             -24.80   -12800.00
00494             -24.80   -12800.00
00495             -26.40   -12800.00
00496             -26.40   -12800.00
00497             -24.80   -12800.00
00498             -24.40   -12800.00
00499             -24.40   -12600.00
00500             -22.80   -12600.00
00501             -21.20   -12600.00
00502             -20.40   -12600.00
00503             -21.20   -12800.00
00504             -19.60   -12600.00
00505             -18.80   -12400.00
00506             -18.40   -12400.00
00507             -18.40   -12400.00
00508             -16.80   -12400.00
00509             -16.80   -12400.00
00510             -16.40   -12400.00
00511             -16.00   -12200.00
00512             -15.20   -12200.00
00513             -14.00   -12200.00
00514             -14.80   -12200.00
00515             -14.40   -12000.00
00516             -12.40   -12000.00
00517             -13.60   -11600.00
00518             -14.00   -11600.00
00519             -11.60   -11600.00
00520             -10.80   -11400.00
00521             -13.20   -11400.00
00522             -11.60   -11200.00
00523             -10.00   -11000.00
00524             -12.00   -11200.00
00525             -11.60   -11000.00
00526              -8.80   -10800.00
00527             -10.00   -10800.00
00528             -10.40   -10600.00
00529              -8.80   -10400.00
00530              -8.40   -10200.00
00531             -10.00   -10400.00
00532              -8.80   -10000.00
00533              -7.60    -9800.00
00534              -8.40    -9800.00
00535              -8.40    -9600.00
00536              -7.60    -9600.00
00537              -7.20    -9400.00
00538              -7.60    -9200.00
00539              -7.20    -9200.00
00540              -5.60    -9000.00
00541              -6.80    -8800.00
00542              -7.20    -8800.00
00543              -5.60    -8400.00
00544              -5.60    -8400.00
00545              -6.80    -8200.00
00546              -5.60    -8200.00
00547              -4.40    -8000.00
00548              -5.60    -7800.00
00549              -6.00    -7600.00
00550              -4.40    -7400.00
00551              -5.20    -7400.00
00552              -4.80    -7200.00
00553              -3.60    -6800.00
00554              -4.00    -6800.00
00555              -4.00    -6600.00
00556              -4.00    -6400.00
00557              -4.40    -6400.00
00558              -4.40    -6000.00
00559              -3.60    -5800.00
00560              -3.60    -5600.00
00561              -3.60    -5600.00
00562              -2.80    -5000.00
00563              -2.40    -5000.00
00564              -4.00    -4600.00
00565              -2.80    -4600.00
00566              -2.00    -4400.00
00567              -3.60    -4200.00
00568              -2.00    -4000.00
00569              -2.40    -3800.00
00570              -2.40    -3600.00
00571              -2.00    -3400.00
00572              -2.40    -3200.00
00573              -1.20    -3000.00
00574              -1.20    -2800.00
00575              -2.80    -2600.00
00576              -1.20    -2400.00
00577              -1.20    -2200.00
00578              -2.40    -2000.00
00579              -2.00    -1800.00
00580              -0.40    -1600.00
00581              -1.20    -1600.00
00582              -2.40    -1400.00
00583              -0.40    -1000.00
00584              -0.80     -800.00
00585              -1.20     -600.00
00586              -1.20     -400.00
00587               0.40     -200.00
00588               0.40        0.00
00589              -1.20        0.00
00590               1.20      400.00
00591               2.00      600.00
00592              -2.00      800.00
00593               0.00     1000.00
00594               2.40     1200.00
00595              -0.80     1400.00
00596               0.40     1800.00
00597               5.20     1800.00
00598              18.00     2200.00
00599               6.00     2400.00
00600             -34.00     2800.00
00601             -10.80     2800.00
00602               5.60     2800.00
00603              12.40     3200.00
00604              42.40     3400.00
00605             -50.00     3200.00
00606             -12.00     3800.00
00607              50.00     4000.00
00608             -50.00     4000.00
00609             -50.00     4400.00
00610              50.00     4400.00
00611             -15.60     4600.00
00612             -50.00     5200.00
00613              50.00     5000.00
00614               7.60     5400.00
00615             -31.20     5600.00
00616               7.60     5600.00
00617              24.40     5800.00
00618               3.60     6200.00
00619             -34.40     6200.00
00620              24.40     6600.00
00621              34.80     6800.00
00622             -31.60     6800.00
00623              -6.00     7000.00
00624              30.80     7000.00
00625               7.60     7200.00
00626             -21.20     7600.00
00627               8.80     7600.00
00628              32.40     8200.00
00629             -15.60     8200.00
00630              -5.60     8200.00
00631              30.80     8400.00
00632              -3.60     8600.00
00633             -13.60     8800.00
00634              25.20     8800.00
00635              13.60     9200.00
00636             -15.60     9200.00
00637              15.20     9400.00
00638              19.60     9400.00
00639              -7.60     9600.00
00640               4.80    10000.00
00641              16.80    10000.00
00642               5.20    10000.00
00643               2.80    10000.00
00644              11.60    10400.00
00645              10.40    10200.00
00646               3.60    10400.00
00647               8.40    10800.00
00648              13.60    10800.00
00649               6.80    10800.00
00650               6.00    10800.00
00651              15.20    11000.00
00652              10.40    11200.00
00653               4.00    11200.00
00654              14.00    11600.00
00655              14.80    11600.00
00656               6.00    11600.00
00657              13.20    11600.00
00658              16.80    11800.00
00659               8.80    11800.00
00660              11.60    12000.00
00661              18.00    12000.00
00662              12.40    12000.00
00663              12.00    12200.00
00664              18.00    12200.00
00665              17.20    12400.00
00666              14.00    12400.00
00667              16.80    12400.00
00668              19.20    12600.00
00669              16.80    12400.00
00670              17.20    12400.00
00671              20.40    12600.00
00672              20.40    12600.00
00673              18.40    12600.00
00674              21.20    12800.00
00675              22.00    12800.00
00676              21.20    12800.00
00677              21.60    12800.00
00678              24.80    12800.00
00679              24.40    12800.00
00680              23.20    12800.00
00681              26.00    12800.00
00682              25.20    12800.00
00683              24.00    12800.00
00684              26.00    12800.00
00685              26.40    12800.00
00686              24.40    12800.00
00687              25.20    12800.00
00688              24.80    12800.00
00689              23.60    12800.00
00690              22.40    12800.00
00691              22.00    12800.00
00692              21.20    12600.00
00693              20.40    12600.00
00694              20.00    12800.00
00695              18.80    12600.00
00696              18.40    12600.00
00697              18.00    12600.00
00698              16.80    12400.00
00699              17.20    12400.00
00700              16.00    12400.00
00701              15.20    12400.00
00702              14.80    12400.00
00703              13.60    12200.00
00704              14.80    12000.00
00705              13.60    12000.00
00706              11.60    12000.00
00707              14.00    12000.00
00708              12.00    11800.00
00709              10.80    11800.00
00710              12.80    11600.00
00711              11.60    11600.00
00712               8.80    11400.00
00713              11.60    11200.00
