# 28 - 07 - 2022 - 15:22:11
# Concentración de la muestra: 25890 g/m^3
Nombre del archivo analizado	Frecuencia (kHz)	Campo Maximo (kA/m)	SAR (W/g)	Coercitividad (kA/m)	Remanencia (kA/m)	Peor quita de ruido porcentual
095kHz_030dA_100Mss_US_00.txt	97.837236	10.551178	0.271919	0.026282	0.001291	0.000000
095kHz_030dA_100Mss_US_01.txt	97.845346	10.551178	0.317828	0.095182	0.003971	0.000000
095kHz_060dA_100Mss_US_00.txt	97.805968	20.884584	0.226340	0.044413	0.002269	0.000000
095kHz_060dA_100Mss_US_01.txt	97.808409	20.884584	1.688657	0.051381	0.002358	0.000000
095kHz_090dA_100Mss_US_00.txt	97.856424	31.217989	5.027136	0.079118	0.003980	0.000000
095kHz_090dA_100Mss_US_01.txt	97.844560	31.217989	4.667000	0.083948	0.004780	0.000000
095kHz_120dA_100Mss_US_00.txt	97.879262	41.551395	7.487515	0.097257	0.004696	0.000000
095kHz_120dA_100Mss_US_01.txt	97.846308	41.551395	7.180754	0.322084	0.015878	0.000000
095kHz_150dA_100Mss_US_00.txt	97.917340	51.884801	1.187901	0.187566	0.008994	0.000000
095kHz_150dA_100Mss_US_01.txt	97.901759	51.884801	11.173921	0.032757	0.001651	0.000000
